enabled,event_id,time_after_start,phase,event_type,action,event_duration_minutes,advanced_value,advanced_units,expected_operational_states,target_volume_gal,expected_flow_gpm,notes
TRUE,load_up_1,00:00:00,pre_event,cta,load_up,unknown,,,3|6,,,
TRUE,run_normal_1,00:07:00,recovery,cta,run_normal,unknown,,,0|1,,,
TRUE,shed_1,00:09:00,event,cta,shed,unknown,,,2|4,,,
TRUE,water_draw_1,00:12:00,event,water_draw,water_draw,,,,,9,3,
TRUE,run_normal_2,00:16:00,recovery,cta,run_normal,unknown,,,0|1,,,
TRUE,critical_peak_1,00:18:00,event,cta,critical_peak,unknown,,,2|4,,,
TRUE,run_normal_3,00:24:00,recovery,cta,run_normal,unknown,,,0|1,,,
TRUE,grid_emergency_1,00:26:00,event,cta,grid_emergency,unknown,,,2|4,,,
TRUE,run_normal_4,00:30:00,recovery,cta,run_normal,unknown,,,0|1,,,
TRUE,water_draw_2,00:31:00,event,water_draw,water_draw,,,,,6,3,
TRUE,advanced_load_up_1,00:34:00,event,cta,advanced_load_up,unknown,5,100_wh,3|6,,,
TRUE,run_normal_5,00:39:00,recovery,cta,run_normal,unknown,,,0|1,,,
TRUE,test_end,00:40:00,recovery,test,end,,,,,,,
