timestamp_pacific,direction,message,payload_length,payload_hex
2026-08-18T21:10:18.326-07:00,inbound,get_advanced_load_up_reply,8,0C 80 00 FF FF 00 64 02
2026-08-19T02:50:17.804-07:00,inbound,get_advanced_load_up_reply,8,0C 80 00 FF FF 00 64 02
