# time,command,argument,event_id,value,units,efficiency
1787112592,o,,auto_outside_comm_for_advanced_load_up_1,,,
1787112607,a,65535,advanced_load_up_1,100,2,9
1787113402,o,,auto_outside_comm_heartbeat_01,,,
1787114212,o,,auto_outside_comm_heartbeat_02,,,
1787115022,o,,auto_outside_comm_heartbeat_03,,,
1787115832,o,,auto_outside_comm_heartbeat_04,,,
1787116642,o,,auto_outside_comm_heartbeat_05,,,
1787117452,o,,auto_outside_comm_heartbeat_06,,,
1787118262,o,,auto_outside_comm_heartbeat_07,,,
1787119072,o,,auto_outside_comm_heartbeat_08,,,
1787119882,o,,auto_outside_comm_heartbeat_09,,,
1787120692,o,,auto_outside_comm_heartbeat_10,,,
1787121502,o,,auto_outside_comm_heartbeat_11,,,
1787121592,o,,auto_outside_comm_for_shed_1,,,
1787121607,s,0,shed_1,,,
1787122312,o,,auto_outside_comm_heartbeat_12,,,
1787123122,o,,auto_outside_comm_heartbeat_13,,,
1787123932,o,,auto_outside_comm_heartbeat_14,,,
1787124742,o,,auto_outside_comm_heartbeat_15,,,
1787125552,o,,auto_outside_comm_heartbeat_16,,,
1787126362,o,,auto_outside_comm_heartbeat_17,,,
1787127172,o,,auto_outside_comm_heartbeat_18,,,
1787127982,o,,auto_outside_comm_heartbeat_19,,,
1787128792,o,,auto_outside_comm_heartbeat_20,,,
1787129602,o,,auto_outside_comm_heartbeat_21,,,
1787130412,o,,auto_outside_comm_heartbeat_22,,,
1787131222,o,,auto_outside_comm_heartbeat_23,,,
1787132032,o,,auto_outside_comm_heartbeat_24,,,
1787132842,o,,auto_outside_comm_heartbeat_25,,,
1787132992,o,,auto_outside_comm_for_advanced_load_up_2,,,
1787133007,a,65535,advanced_load_up_2,100,2,9
1787133652,o,,auto_outside_comm_heartbeat_26,,,
1787134462,o,,auto_outside_comm_heartbeat_27,,,
1787135272,o,,auto_outside_comm_heartbeat_28,,,
1787136082,o,,auto_outside_comm_heartbeat_29,,,
1787136592,o,,auto_outside_comm_for_run_normal_1,,,
1787136607,e,0,run_normal_1,,,
1787136892,o,,auto_outside_comm_heartbeat_30,,,
1787137702,o,,auto_outside_comm_heartbeat_31,,,
