phase,timestamp_pacific,time_after_command,time_after_previous,milestone,observation,source
Load Up 1,2026-08-09 13:19:14.535000,0:00,0:00,Command accepted,Accepted,CTA
Load Up 1,2026-08-09 13:19:29.335000,0:15,0:15,Fan started,"0.23 A, 49 W (inferred)",Power monitor
Load Up 1,2026-08-09 13:20:33.692000,1:19,1:04,Compressor started,"1.15 A, 239 W (inferred)",Power monitor
Load Up 1,2026-08-09 13:22:59,3:44,2:25,EnergyTake first changed,450 to 600 Wh,Commodity poll
Load Up 1,2026-08-09 13:22:59.951000,3:45,0:01,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Load Up 1,2026-08-09 14:00:27.929000,41:13,37:28,Fan/load stopped,"0.18 A, 45 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:04:04.115000,44:50,3:36,Fan started,"0.21 A, 49 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:05:07.466000,45:53,1:03,Compressor started,"1.31 A, 294 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:10:59.417000,51:45,5:52,Fan/load stopped,"0.18 A, 45 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:14:35.615000,55:21,3:36,Fan started,"0.22 A, 49 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:15:38.966000,56:24,1:03,Compressor started,"1.51 A, 341 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:19:34.288000,1:00:20,3:55,Fan/load stopped,"0.18 A, 43 W (inferred)",Power monitor
GE,2026-08-09 14:49:14.259000,0:00,29:40,Command accepted,Accepted,CTA
GE,2026-08-09 14:49:59.842000,0:46,0:46,Expected operational state first observed,State 4: Idle Curtailed (expected 2 or 4),CTA state poll
GE,2026-08-09 15:19:14.185000,30:00,29:14,water_draw_1 started,Target 15.00 gal,Water draw
GE,2026-08-09 15:21:59,32:45,2:45,EnergyTake first changed,0 to 150 Wh,Commodity poll
GE,2026-08-09 15:23:59.464000,34:45,2:00,water_draw_1 completed,Measured 15.02 gal,Water draw
GE,2026-08-09 15:49:14.136000,1:00:00,25:15,water_draw_2 started,Target 2.00 gal,Water draw
GE,2026-08-09 15:49:53.628000,1:00:39,0:39,water_draw_2 completed,Measured 2.00 gal,Water draw
GE,2026-08-09 16:59:14.159000,2:10:00,1:09:21,water_draw_3 started,Target 9.00 gal,Water draw
GE,2026-08-09 17:02:04.357000,2:12:50,2:50,water_draw_3 completed,Measured 9.03 gal,Water draw
Load Up 2,2026-08-09 17:59:14.646000,0:00,57:10,Command accepted,Accepted,CTA
Load Up 2,2026-08-09 17:59:23.382000,0:09,0:09,Fan started,"0.23 A, 49 W (inferred)",Power monitor
Load Up 2,2026-08-09 18:00:28.749000,1:14,1:05,Compressor started,"1.19 A, 253 W (inferred)",Power monitor
Load Up 2,2026-08-09 18:01:59,2:44,1:30,EnergyTake first changed,2175 to 1950 Wh,Commodity poll
Load Up 2,2026-08-09 18:01:59.453000,2:45,0:00,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Normal,2026-08-09 18:59:14.708000,0:00,57:15,Command accepted,Accepted,CTA
Normal,2026-08-09 18:59:59.290000,0:45,0:45,Expected operational state first observed,State 1: Running Normal (expected 0 or 1),CTA state poll
Normal,2026-08-09 19:06:59,7:44,7:00,EnergyTake first changed,450 to 375 Wh,Commodity poll
