# time,command,argument,event_id,value,units
1785362203,o,,auto_outside_comm_for_shed_1,,
1785362218,s,0,shed_1,,
1785362383,o,,auto_outside_comm_for_advanced_load_up_1,,
1785362398,a,0,advanced_load_up_1,5,2
1785362563,o,,auto_outside_comm_for_run_normal_1,,
1785362578,e,0,run_normal_1,,
1785362683,o,,auto_outside_comm_for_load_up_1,,
1785362698,l,0,load_up_1,,
1785363043,o,,auto_outside_comm_for_shed_2,,
1785363058,s,0,shed_2,,
1785363463,o,,auto_outside_comm_for_grid_emergency_1,,
1785363478,g,0,grid_emergency_1,,
1785363703,o,,auto_outside_comm_for_run_normal_2,,
1785363718,e,0,run_normal_2,,
1785363823,o,,auto_outside_comm_for_critical_peak_1,,
1785363838,c,0,critical_peak_1,,
1785364063,o,,auto_outside_comm_for_run_normal_3,,
1785364078,e,0,run_normal_3,,
