timestamp_utc,event_id,event,direction,command,result,argument,details
2026-07-23T21:59:58.385Z,,controller_started,internal,controller,started,,
2026-07-23T21:59:58.390Z,,serial_open,internal,serial_port,ok,/dev/ttyUSB0,
2026-07-23T21:59:58.391Z,,communication_started,internal,cta2045,started,,
2026-07-23T21:59:58.392Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T21:59:58.537Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T21:59:58.706Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T21:59:58.706Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T21:59:58.857Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T21:59:58.953Z,,operational_state,inbound,query_operational_state,received,0,
2026-07-23T21:59:58.993Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:00:58.994Z,auto_outside_comm_for_load_up_1,command_sent,outbound,outside_communication,pending,0,source=schedule
2026-07-23T22:00:59.055Z,,link_ack,inbound,BASIC_OUTSIDE_COMM_CONNECTION_STATUS_MESSAGE,ack,,
2026-07-23T22:00:59.150Z,,application_ack,inbound,basic_dr,ack,14,opcode1=3
2026-07-23T22:00:59.191Z,auto_outside_comm_for_load_up_1,command_completed,outbound,outside_communication,ok,0,source=schedule
2026-07-23T22:00:59.191Z,load_up_1,command_sent,outbound,load_up,pending,13,source=schedule
2026-07-23T22:00:59.342Z,,link_ack,inbound,BASIC_LOAD_UP_REQUEST,ack,,
2026-07-23T22:00:59.438Z,,application_ack,inbound,basic_dr,ack,23,opcode1=3
2026-07-23T22:00:59.479Z,load_up_1,command_completed,outbound,load_up,ok,13,source=schedule
2026-07-23T22:00:59.480Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:00:59.631Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:00:59.801Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:00:59.801Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:00:59.950Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:01:00.062Z,,operational_state,inbound,query_operational_state,received,0,
2026-07-23T22:01:00.103Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:02:00.105Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:02:00.164Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:02:00.334Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:02:00.335Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:02:00.484Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:02:00.596Z,,operational_state,inbound,query_operational_state,received,4,
2026-07-23T22:02:00.636Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:02:24.837Z,,command_sent,outbound,run_normal,pending,0,source=shutdown
2026-07-23T22:02:24.928Z,,link_ack,inbound,BASIC_END_SHED_REQUEST,ack,,
2026-07-23T22:02:25.040Z,,application_ack,inbound,basic_dr,ack,2,opcode1=3
2026-07-23T22:02:25.080Z,,command_completed,outbound,run_normal,ok,0,source=shutdown
2026-07-23T22:02:27.135Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:02:27.231Z,,operational_state,inbound,query_operational_state,received,4,
2026-07-23T22:02:27.372Z,,controller_stopped,internal,controller,stopped,,
