# time,command,argument,event_id,value,units
1784843999,o,,auto_outside_comm_for_load_up_1,,
1784844014,l,13,load_up_1,,
1784844419,o,,auto_outside_comm_for_run_normal_1,,
1784844434,e,10,run_normal_1,,
1784844719,o,,auto_outside_comm_for_critical_peak_1,,
1784844734,c,15,critical_peak_1,,
1784845319,o,,auto_outside_comm_for_run_normal_2,,
1784845334,e,0,run_normal_2,,
1784845499,o,,auto_outside_comm_for_shed_1,,
1784845514,s,13,shed_1,,
1784846099,o,,auto_outside_comm_for_run_normal_3,,
1784846114,e,0,run_normal_3,,
1784846219,o,,auto_outside_comm_for_grid_emergency_1,,
1784846234,g,13,grid_emergency_1,,
1784846819,o,,auto_outside_comm_for_run_normal_4,,
1784846834,e,0,run_normal_4,,
