# time,command,argument,event_id,value,units,efficiency
1786484985,o,,auto_outside_comm_for_advanced_load_up_1,,,
1786485000,a,60,advanced_load_up_1,10,3,1
1786485105,o,,auto_outside_comm_for_run_normal_1,,,
1786485120,e,0,run_normal_1,,,
1786485165,o,,auto_outside_comm_for_advanced_load_up_2,,,
1786485180,a,0,advanced_load_up_2,100,1,2
1786485225,o,,auto_outside_comm_for_run_normal_2,,,
1786485240,e,0,run_normal_2,,,
1786485285,o,,auto_outside_comm_for_advanced_load_up_3,,,
1786485300,a,0,advanced_load_up_3,1000,0,4
1786485345,o,,auto_outside_comm_for_run_normal_3,,,
1786485360,e,0,run_normal_3,,,
1786485405,o,,auto_outside_comm_for_advanced_load_up_4,,,
1786485420,a,0,advanced_load_up_4,500,1,5
1786485465,o,,auto_outside_comm_for_run_normal_4,,,
1786485480,e,0,run_normal_4,,,
1786485525,o,,auto_outside_comm_for_advanced_load_up_5,,,
1786485540,a,100,advanced_load_up_5,70,2,6
1786485585,o,,auto_outside_comm_for_run_normal_5,,,
1786485600,e,0,run_normal_5,,,
1786485645,o,,auto_outside_comm_for_advanced_load_up_6,,,
1786485660,a,60,advanced_load_up_6,10,3,7
1786485705,o,,auto_outside_comm_for_run_normal_6,,,
1786485720,e,0,run_normal_6,,,
1786485765,o,,auto_outside_comm_for_advanced_load_up_7,,,
1786485780,a,60,advanced_load_up_7,10,3,8
1786485795,o,,auto_outside_comm_heartbeat_01,,,
