timestamp_utc,event_id,event,direction,command,result,argument,details
2026-07-23T22:07:19.909Z,,controller_started,internal,controller,started,,
2026-07-23T22:07:19.913Z,,serial_open,internal,serial_port,ok,/dev/ttyUSB0,
2026-07-23T22:07:19.913Z,,communication_started,internal,cta2045,started,,
2026-07-23T22:07:19.914Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:07:20.068Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:07:20.237Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:07:20.237Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:07:20.387Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:07:20.484Z,,operational_state,inbound,query_operational_state,received,1,Running Normal
2026-07-23T22:07:20.524Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:07:21.524Z,auto_outside_comm_for_load_up_1,command_sent,outbound,outside_communication,pending,0,source=schedule
2026-07-23T22:07:21.571Z,,link_ack,inbound,BASIC_OUTSIDE_COMM_CONNECTION_STATUS_MESSAGE,ack,,
2026-07-23T22:07:21.683Z,,application_ack,inbound,basic_dr,ack,14,opcode1=3
2026-07-23T22:07:21.724Z,auto_outside_comm_for_load_up_1,command_completed,outbound,outside_communication,ok,0,source=schedule
2026-07-23T22:07:35.732Z,load_up_1,command_sent,outbound,load_up,pending,13,source=schedule
2026-07-23T22:07:35.793Z,,link_ack,inbound,BASIC_LOAD_UP_REQUEST,ack,,
2026-07-23T22:07:35.905Z,,application_ack,inbound,basic_dr,ack,23,opcode1=3
2026-07-23T22:07:35.946Z,load_up_1,command_completed,outbound,load_up,ok,13,source=schedule
2026-07-23T22:08:19.969Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:08:20.074Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:08:20.244Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:08:20.244Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:08:20.393Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:08:20.505Z,,operational_state,inbound,query_operational_state,received,3,Running Heightened
2026-07-23T22:08:20.546Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:09:20.577Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:09:20.703Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:09:20.873Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:09:20.874Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:09:21.023Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:09:21.135Z,,operational_state,inbound,query_operational_state,received,3,Running Heightened
2026-07-23T22:09:21.175Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:10:20.208Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:10:20.340Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:10:20.495Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:10:20.495Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:10:20.644Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:10:20.756Z,,operational_state,inbound,query_operational_state,received,3,Running Heightened
2026-07-23T22:10:20.797Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:11:20.829Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:11:20.954Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:11:21.124Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:11:21.125Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:11:21.274Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:11:21.386Z,,operational_state,inbound,query_operational_state,received,3,Running Heightened
2026-07-23T22:11:21.426Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:12:20.458Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:12:20.591Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:12:20.762Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:12:20.762Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:12:20.911Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:12:21.023Z,,operational_state,inbound,query_operational_state,received,3,Running Heightened
2026-07-23T22:12:21.064Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:13:20.096Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:13:20.229Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:13:20.399Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:13:20.400Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:13:20.549Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:13:20.661Z,,operational_state,inbound,query_operational_state,received,1,Running Normal
2026-07-23T22:13:20.701Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:14:20.734Z,auto_outside_comm_for_run_normal_1,command_sent,outbound,outside_communication,pending,0,source=schedule
2026-07-23T22:14:20.858Z,,link_ack,inbound,BASIC_OUTSIDE_COMM_CONNECTION_STATUS_MESSAGE,ack,,
2026-07-23T22:14:20.970Z,,application_ack,inbound,basic_dr,ack,14,opcode1=3
2026-07-23T22:14:21.011Z,auto_outside_comm_for_run_normal_1,command_completed,outbound,outside_communication,ok,0,source=schedule
2026-07-23T22:14:21.012Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:14:21.162Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:14:21.333Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:14:21.333Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:14:21.482Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:14:21.594Z,,operational_state,inbound,query_operational_state,received,1,Running Normal
2026-07-23T22:14:21.635Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:14:35.642Z,run_normal_1,command_sent,outbound,run_normal,pending,10,source=schedule
2026-07-23T22:14:35.704Z,,link_ack,inbound,BASIC_END_SHED_REQUEST,ack,,
2026-07-23T22:14:35.816Z,,application_ack,inbound,basic_dr,ack,2,opcode1=3
2026-07-23T22:14:35.856Z,run_normal_1,command_completed,outbound,run_normal,ok,10,source=schedule
2026-07-23T22:15:20.880Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:15:20.992Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:15:21.162Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:15:21.163Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:15:21.312Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:15:21.427Z,,operational_state,inbound,query_operational_state,received,1,Running Normal
2026-07-23T22:15:21.468Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:16:20.496Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:16:20.630Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:16:20.784Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:16:20.784Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:16:20.933Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:16:21.045Z,,operational_state,inbound,query_operational_state,received,1,Running Normal
2026-07-23T22:16:21.086Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:17:20.116Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:17:20.251Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:17:20.422Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:17:20.422Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:17:20.571Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:17:20.667Z,,operational_state,inbound,query_operational_state,received,1,Running Normal
2026-07-23T22:17:20.708Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:18:20.738Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:18:20.881Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:18:21.035Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:18:21.035Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:18:21.184Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:18:21.296Z,,operational_state,inbound,query_operational_state,received,1,Running Normal
2026-07-23T22:18:21.337Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:19:20.366Z,auto_outside_comm_for_critical_peak_1,command_sent,outbound,outside_communication,pending,0,source=schedule
2026-07-23T22:19:20.502Z,,link_ack,inbound,BASIC_OUTSIDE_COMM_CONNECTION_STATUS_MESSAGE,ack,,
2026-07-23T22:19:20.598Z,,application_ack,inbound,basic_dr,ack,14,opcode1=3
2026-07-23T22:19:20.638Z,auto_outside_comm_for_critical_peak_1,command_completed,outbound,outside_communication,ok,0,source=schedule
2026-07-23T22:19:20.640Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:19:20.790Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:19:20.960Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:19:20.961Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:19:21.110Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:19:21.222Z,,operational_state,inbound,query_operational_state,received,1,Running Normal
2026-07-23T22:19:21.262Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
2026-07-23T22:19:35.270Z,critical_peak_1,command_sent,outbound,critical_peak,pending,15,source=schedule
2026-07-23T22:19:35.332Z,,link_ack,inbound,BASIC_CRITICAL_PEAK_EVENT_REQUEST,ack,,
2026-07-23T22:19:35.443Z,,application_ack,inbound,basic_dr,ack,10,opcode1=3
2026-07-23T22:19:35.483Z,critical_peak_1,command_completed,outbound,critical_peak,ok,15,source=schedule
2026-07-23T22:20:20.505Z,,query_sent,outbound,get_commodity,pending,,source=periodic
2026-07-23T22:20:20.620Z,,link_ack,inbound,GET_COMMODITY_REQUEST,ack,,
2026-07-23T22:20:20.790Z,,query_completed,outbound,get_commodity,ok,,source=periodic
2026-07-23T22:20:20.790Z,,query_sent,outbound,query_operational_state,pending,,source=periodic
2026-07-23T22:20:20.939Z,,link_ack,inbound,BASIC_QUERY_OPERATIONAL_STATE_REQUEST,ack,,
2026-07-23T22:20:21.051Z,,operational_state,inbound,query_operational_state,received,4,Idle Curtailed
2026-07-23T22:20:21.092Z,,query_completed,outbound,query_operational_state,ok,,source=periodic
