# time,command,argument,event_id,value,units
1785114797,o,,auto_outside_comm_for_load_up_1,,
1785114812,l,13,load_up_1,,
1785115217,o,,auto_outside_comm_for_run_normal_1,,
1785115232,e,10,run_normal_1,,
1785115517,o,,auto_outside_comm_for_critical_peak_1,,
1785115532,c,15,critical_peak_1,,
1785116117,o,,auto_outside_comm_for_run_normal_2,,
1785116132,e,0,run_normal_2,,
1785116297,o,,auto_outside_comm_for_shed_1,,
1785116312,s,13,shed_1,,
1785116897,o,,auto_outside_comm_for_run_normal_3,,
1785116912,e,0,run_normal_3,,
1785117017,o,,auto_outside_comm_for_grid_emergency_1,,
1785117032,g,13,grid_emergency_1,,
1785117617,o,,auto_outside_comm_for_run_normal_4,,
1785117632,e,0,run_normal_4,,
