event_id,scheduled_utc,offset_seconds,action,command_code,duration_byte,requested_duration_seconds,represented_duration_seconds,advanced_duration_minutes,advanced_value,advanced_units,expected_operational_states,generated,prerequisite_for
auto_outside_comm_for_load_up_1,2026-07-28T00:22:35Z,-15,outside_communication,o,,,,,,,,true,load_up_1
load_up_1,2026-07-28T00:22:50Z,0,load_up,l,13,300,338,,,,3|6,false,
auto_outside_comm_for_run_normal_1,2026-07-28T00:29:35Z,405,outside_communication,o,,,,,,,,true,run_normal_1
run_normal_1,2026-07-28T00:29:50Z,420,run_normal,e,10,180,200,,,,0|1,false,
auto_outside_comm_for_critical_peak_1,2026-07-28T00:34:35Z,705,outside_communication,o,,,,,,,,true,critical_peak_1
critical_peak_1,2026-07-28T00:34:50Z,720,critical_peak,c,15,420,450,,,,2|4,false,
auto_outside_comm_for_run_normal_2,2026-07-28T00:44:35Z,1305,outside_communication,o,,,,,,,,true,run_normal_2
run_normal_2,2026-07-28T00:44:50Z,1320,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_shed_1,2026-07-28T00:47:35Z,1485,outside_communication,o,,,,,,,,true,shed_1
shed_1,2026-07-28T00:47:50Z,1500,shed,s,13,300,338,,,,2|4,false,
auto_outside_comm_for_run_normal_3,2026-07-28T00:57:35Z,2085,outside_communication,o,,,,,,,,true,run_normal_3
run_normal_3,2026-07-28T00:57:50Z,2100,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_grid_emergency_1,2026-07-28T00:59:35Z,2205,outside_communication,o,,,,,,,,true,grid_emergency_1
grid_emergency_1,2026-07-28T00:59:50Z,2220,grid_emergency,g,13,300,338,,,,2|4,false,
auto_outside_comm_for_run_normal_4,2026-07-28T01:09:35Z,2805,outside_communication,o,,,,,,,,true,run_normal_4
run_normal_4,2026-07-28T01:09:50Z,2820,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_advanced_load_up_1,2026-07-28T01:11:35Z,2925,outside_communication,o,,,,,,,,true,advanced_load_up_1
advanced_load_up_1,2026-07-28T01:11:50Z,2940,advanced_load_up,a,,,,0,5,2,3|6,false,
auto_outside_comm_for_run_normal_5,2026-07-28T01:13:35Z,3045,outside_communication,o,,,,,,,,true,run_normal_5
run_normal_5,2026-07-28T01:13:50Z,3060,run_normal,e,0,,,,,,0|1,false,
