# time,command,argument,event_id,value,units
1785806696,o,,auto_outside_comm_for_load_up_1,,
1785806711,l,0,load_up_1,,
1785807506,o,,auto_outside_comm_heartbeat_01,,
1785808316,o,,auto_outside_comm_heartbeat_02,,
1785809126,o,,auto_outside_comm_heartbeat_03,,
1785809936,o,,auto_outside_comm_heartbeat_04,,
1785810746,o,,auto_outside_comm_heartbeat_05,,
1785811556,o,,auto_outside_comm_heartbeat_06,,
1785812096,o,,auto_outside_comm_for_run_normal_1,,
1785812111,e,0,run_normal_1,,
1785812366,o,,auto_outside_comm_heartbeat_07,,
1785813176,o,,auto_outside_comm_heartbeat_08,,
1785813986,o,,auto_outside_comm_heartbeat_09,,
1785814796,o,,auto_outside_comm_heartbeat_10,,
1785815606,o,,auto_outside_comm_heartbeat_11,,
1785816416,o,,auto_outside_comm_heartbeat_12,,
1785817226,o,,auto_outside_comm_heartbeat_13,,
1785818036,o,,auto_outside_comm_heartbeat_14,,
1785818846,o,,auto_outside_comm_heartbeat_15,,
1785819656,o,,auto_outside_comm_heartbeat_16,,
1785820466,o,,auto_outside_comm_heartbeat_17,,
1785821276,o,,auto_outside_comm_heartbeat_18,,
1785822086,o,,auto_outside_comm_heartbeat_19,,
1785822896,o,,auto_outside_comm_heartbeat_20,,
1785823496,o,,auto_outside_comm_for_load_up_2,,
1785823511,l,0,load_up_2,,
1785823706,o,,auto_outside_comm_heartbeat_21,,
1785824516,o,,auto_outside_comm_heartbeat_22,,
1785825326,o,,auto_outside_comm_heartbeat_23,,
1785826136,o,,auto_outside_comm_heartbeat_24,,
1785826946,o,,auto_outside_comm_heartbeat_25,,
1785827096,o,,auto_outside_comm_for_run_normal_2,,
1785827111,e,0,run_normal_2,,
1785827756,o,,auto_outside_comm_heartbeat_26,,
