timestamp_pacific,event_id,event,direction,command,result,argument,source,opcode1,opcode2,nak_code,nak_reason,operational_state,operational_state_name,details
2026-07-26T18:08:56.063-07:00,,controller_started,internal,controller,started,,controller,,,,,,,
2026-07-26T18:08:56.066-07:00,,serial_open,internal,serial_port,ok,/dev/ttyUSB0,controller,,,,,,,
2026-07-26T18:08:56.067-07:00,,communication_started,internal,cta2045,started,,controller,,,,,,,
2026-07-26T18:08:56.068-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:08:56.219-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:08:56.388-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:08:56.388-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:08:56.538-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:08:56.650-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:08:56.691-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:08:57.691-07:00,auto_outside_comm_for_load_up_1,command_sent,outbound,outside_communication,pending,0,schedule,14,0,,,,,
2026-07-26T18:08:57.738-07:00,,link_ack,inbound,outside_communication,ack,,link_layer,14,,,,,,
2026-07-26T18:08:57.850-07:00,,application_ack,inbound,outside_communication,ack,,application_layer,3,14,,,,,
2026-07-26T18:08:57.890-07:00,auto_outside_comm_for_load_up_1,command_completed,outbound,outside_communication,ok,0,schedule,14,0,,,,,
2026-07-26T18:09:12.899-07:00,load_up_1,command_sent,outbound,load_up,pending,13,schedule,23,13,,,,,
2026-07-26T18:09:12.968-07:00,,link_ack,inbound,load_up,ack,,link_layer,23,,,,,,
2026-07-26T18:09:13.064-07:00,,application_ack,inbound,load_up,ack,,application_layer,3,23,,,,,
2026-07-26T18:09:13.104-07:00,load_up_1,command_completed,outbound,load_up,ok,13,schedule,23,13,,,,,
2026-07-26T18:09:17.718-07:00,,command_sent,outbound,run_normal,pending,0,shutdown,2,0,,,,,
2026-07-26T18:09:17.863-07:00,,link_ack,inbound,run_normal,ack,,link_layer,2,,,,,,
2026-07-26T18:09:17.975-07:00,,application_ack,inbound,run_normal,ack,,application_layer,3,2,,,,,
2026-07-26T18:09:18.016-07:00,,command_completed,outbound,run_normal,ok,0,shutdown,2,0,,,,,
2026-07-26T18:09:20.071-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:09:20.183-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:09:20.324-07:00,,controller_stopped,internal,controller,stopped,,controller,,,,,,,
