phase,timestamp_pacific,time_after_command,time_after_previous,milestone,observation,source
Shed,2026-08-30 16:18:53.175000,0:00,0:00,Command accepted,Accepted,CTA
Shed,2026-08-30 16:19:08.392000,0:15,0:15,Expected operational state first observed,State 4: Idle Curtailed (expected 2 or 4),CTA state poll
Shed,2026-08-30 16:19:08.476000,0:15,0:00,water_draw_1 started,Cut-in at 0.5 gpm; max 240 min,Water draw
Shed,2026-08-30 16:34:38,15:45,15:30,EnergyTake first changed,0 to 150 Wh,Commodity poll
Shed,2026-08-30 16:58:45.960000,39:53,24:08,Fan started,"0.22 A, 49 W (inferred)",Power monitor
Shed,2026-08-30 16:59:50.315000,40:57,1:04,Compressor started,"1.12 A, 232 W (inferred)",Power monitor
Shed,2026-08-30 17:01:39.698000,42:47,1:49,water_draw_1 completed,Measured 50.65 gal,Water draw
Shed,2026-08-30 17:01:42.928000,42:50,0:03,Compressor and element operating,"23.20 A, 5538 W (inferred)",Power monitor
Shed,2026-08-30 17:11:17.082000,52:24,9:34,Resistance element stopped; compressor remains on,"1.62 A, 368 W (inferred)",Power monitor
Shed,2026-08-30 19:14:25.037000,2:55:32,2:03:08,Fan/load stopped,"0.17 A, 43 W (inferred)",Power monitor
Shed,2026-08-30 19:14:39.421000,2:55:46,0:14,water_draw_2 started,Temperature drop target 15 °F,Water draw
Shed,2026-08-30 19:18:45.393000,2:59:52,4:06,Fan started,"0.22 A, 49 W (inferred)",Power monitor
Shed,2026-08-30 19:19:50.720000,3:00:58,1:05,Compressor started,"1.28 A, 281 W (inferred)",Power monitor
Shed,2026-08-30 19:26:41.812000,3:07:49,6:51,Compressor and element operating,"23.35 A, 5602 W (inferred)",Power monitor
Shed,2026-08-30 19:28:24.139000,3:09:31,1:42,water_draw_2 completed,Measured 43.91 gal,Water draw
