timestamp_pacific,direction,message,payload_length,payload_hex
2026-08-16T02:27:11.026-07:00,inbound,get_advanced_load_up_reply,8,0C 80 00 00 00 00 64 02
2026-08-16T08:07:10.631-07:00,inbound,get_advanced_load_up_reply,8,0C 80 00 00 00 00 64 02
