# time,command,argument,event_id,value,units
1785959622,o,,auto_outside_comm_for_load_up_1,,
1785959637,l,0,load_up_1,,
1785960432,o,,auto_outside_comm_heartbeat_01,,
1785961242,o,,auto_outside_comm_heartbeat_02,,
1785962052,o,,auto_outside_comm_heartbeat_03,,
1785962862,o,,auto_outside_comm_heartbeat_04,,
1785963672,o,,auto_outside_comm_heartbeat_05,,
1785964482,o,,auto_outside_comm_heartbeat_06,,
1785965022,o,,auto_outside_comm_for_critical_peak_1,,
1785965037,c,0,critical_peak_1,,
1785965292,o,,auto_outside_comm_heartbeat_07,,
1785966102,o,,auto_outside_comm_heartbeat_08,,
1785966912,o,,auto_outside_comm_heartbeat_09,,
1785967722,o,,auto_outside_comm_heartbeat_10,,
1785968532,o,,auto_outside_comm_heartbeat_11,,
1785969342,o,,auto_outside_comm_heartbeat_12,,
1785970152,o,,auto_outside_comm_heartbeat_13,,
1785970962,o,,auto_outside_comm_heartbeat_14,,
1785971772,o,,auto_outside_comm_heartbeat_15,,
1785972582,o,,auto_outside_comm_heartbeat_16,,
1785973392,o,,auto_outside_comm_heartbeat_17,,
1785974202,o,,auto_outside_comm_heartbeat_18,,
1785975012,o,,auto_outside_comm_heartbeat_19,,
1785975822,o,,auto_outside_comm_heartbeat_20,,
1785976422,o,,auto_outside_comm_for_load_up_2,,
1785976437,l,0,load_up_2,,
1785976632,o,,auto_outside_comm_heartbeat_21,,
1785977442,o,,auto_outside_comm_heartbeat_22,,
1785978252,o,,auto_outside_comm_heartbeat_23,,
1785979062,o,,auto_outside_comm_heartbeat_24,,
1785979872,o,,auto_outside_comm_heartbeat_25,,
1785980022,o,,auto_outside_comm_for_run_normal_1,,
1785980037,e,0,run_normal_1,,
1785980682,o,,auto_outside_comm_heartbeat_26,,
