# time,command,argument,event_id,value,units
1785807016,o,,auto_outside_comm_for_load_up_1,,
1785807031,l,0,load_up_1,,
1785807826,o,,auto_outside_comm_heartbeat_01,,
1785808636,o,,auto_outside_comm_heartbeat_02,,
1785809446,o,,auto_outside_comm_heartbeat_03,,
1785810256,o,,auto_outside_comm_heartbeat_04,,
1785811066,o,,auto_outside_comm_heartbeat_05,,
1785811876,o,,auto_outside_comm_heartbeat_06,,
1785812416,o,,auto_outside_comm_for_run_normal_1,,
1785812431,e,0,run_normal_1,,
1785812686,o,,auto_outside_comm_heartbeat_07,,
1785813496,o,,auto_outside_comm_heartbeat_08,,
1785814306,o,,auto_outside_comm_heartbeat_09,,
1785815116,o,,auto_outside_comm_heartbeat_10,,
1785815926,o,,auto_outside_comm_heartbeat_11,,
1785816736,o,,auto_outside_comm_heartbeat_12,,
1785817546,o,,auto_outside_comm_heartbeat_13,,
1785818356,o,,auto_outside_comm_heartbeat_14,,
1785819166,o,,auto_outside_comm_heartbeat_15,,
1785819976,o,,auto_outside_comm_heartbeat_16,,
1785820786,o,,auto_outside_comm_heartbeat_17,,
1785821596,o,,auto_outside_comm_heartbeat_18,,
1785822406,o,,auto_outside_comm_heartbeat_19,,
1785823216,o,,auto_outside_comm_heartbeat_20,,
1785823816,o,,auto_outside_comm_for_load_up_2,,
1785823831,l,0,load_up_2,,
1785824026,o,,auto_outside_comm_heartbeat_21,,
1785824836,o,,auto_outside_comm_heartbeat_22,,
1785825646,o,,auto_outside_comm_heartbeat_23,,
1785826456,o,,auto_outside_comm_heartbeat_24,,
1785827266,o,,auto_outside_comm_heartbeat_25,,
1785827416,o,,auto_outside_comm_for_run_normal_2,,
1785827431,e,0,run_normal_2,,
1785828076,o,,auto_outside_comm_heartbeat_26,,
