event_id,scheduled_utc,offset_seconds,action,command_code,duration_byte,requested_duration_seconds,represented_duration_seconds,advanced_duration_minutes,advanced_value,advanced_units,expected_operational_states,generated,prerequisite_for
auto_outside_comm_for_shed_1,2026-07-29T01:43:29Z,-15,outside_communication,o,,,,,,,,true,shed_1
shed_1,2026-07-29T01:43:44Z,0,shed,s,0,,,,,,2|4,false,
auto_outside_comm_for_advanced_load_up_1,2026-07-29T01:46:29Z,165,outside_communication,o,,,,,,,,true,advanced_load_up_1
advanced_load_up_1,2026-07-29T01:46:44Z,180,advanced_load_up,a,,,,0,5,2,3|6,false,
auto_outside_comm_for_run_normal_1,2026-07-29T01:49:29Z,345,outside_communication,o,,,,,,,,true,run_normal_1
run_normal_1,2026-07-29T01:49:44Z,360,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_load_up_1,2026-07-29T01:51:29Z,465,outside_communication,o,,,,,,,,true,load_up_1
load_up_1,2026-07-29T01:51:44Z,480,load_up,l,0,,,,,,3|6,false,
auto_outside_comm_for_shed_2,2026-07-29T01:57:29Z,825,outside_communication,o,,,,,,,,true,shed_2
shed_2,2026-07-29T01:57:44Z,840,shed,s,0,,,,,,2|4,false,
auto_outside_comm_for_grid_emergency_1,2026-07-29T02:04:29Z,1245,outside_communication,o,,,,,,,,true,grid_emergency_1
grid_emergency_1,2026-07-29T02:04:44Z,1260,grid_emergency,g,0,,,,,,2|4,false,
auto_outside_comm_for_run_normal_2,2026-07-29T02:08:29Z,1485,outside_communication,o,,,,,,,,true,run_normal_2
run_normal_2,2026-07-29T02:08:44Z,1500,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_critical_peak_1,2026-07-29T02:10:29Z,1605,outside_communication,o,,,,,,,,true,critical_peak_1
critical_peak_1,2026-07-29T02:10:44Z,1620,critical_peak,c,0,,,,,,2|4,false,
auto_outside_comm_for_run_normal_3,2026-07-29T02:14:29Z,1845,outside_communication,o,,,,,,,,true,run_normal_3
run_normal_3,2026-07-29T02:14:44Z,1860,run_normal,e,0,,,,,,0|1,false,
