event_id,timestamp_utc,draw_elapsed_seconds,status,stop_reason,valve_state,target_volume_gal,accumulated_volume_gal,flow_gpm,hot_temp_c,hot_temp_f,cold_temp_c,cold_temp_f,ambient_temp_c,ambient_temp_f,hot_raw_counts,cold_raw_counts,flow_raw_counts,ambient_raw_counts
water_draw_1,2026-07-29T01:59:44.327Z,0.028,drawing,,open,9.0,0.000087,0.18979166666666672,24.062499999999986,75.31249999999997,22.1875,71.9375,22.8,73.03999999999999,1191,1173,478,228
water_draw_1,2026-07-29T01:59:44.829Z,0.529,drawing,,open,9.0,0.026906,3.206354166666667,24.47916666666667,76.0625,22.1875,71.9375,22.1,71.78,1195,1173,1069,221
water_draw_1,2026-07-29T01:59:45.331Z,1.031,drawing,,open,9.0,0.053804,3.2165624999999998,23.95833333333333,75.125,21.666666666666686,71.00000000000003,22.2,71.96000000000001,1190,1168,1071,222
water_draw_1,2026-07-29T01:59:45.833Z,1.533,drawing,,open,9.0,0.081431,3.3033333333333337,24.47916666666667,76.0625,22.083333333333314,71.74999999999997,22.400000000000002,72.32,1195,1172,1088,224
water_draw_1,2026-07-29T01:59:46.334Z,2.035,drawing,,open,9.0,0.108846,3.2778125000000005,25.0,77.0,22.083333333333314,71.74999999999997,22.400000000000002,72.32,1200,1172,1083,224
water_draw_1,2026-07-29T01:59:46.836Z,2.537,drawing,,open,9.0,0.135404,3.1757291666666667,25.625000000000014,78.12500000000003,22.083333333333314,71.74999999999997,22.7,72.86,1206,1172,1063,227
water_draw_1,2026-07-29T01:59:47.338Z,3.038,drawing,,open,9.0,0.161491,3.1195833333333343,26.354166666666686,79.43750000000003,21.875,71.375,22.7,72.86,1213,1170,1052,227
water_draw_1,2026-07-29T01:59:47.840Z,3.540,drawing,,open,9.0,0.187409,3.0991666666666675,27.08333333333333,80.75,21.979166666666686,71.56250000000003,22.6,72.68,1220,1171,1048,226
water_draw_1,2026-07-29T01:59:48.342Z,4.042,drawing,,open,9.0,0.212732,3.027708333333334,27.6041666666667,81.68750000000006,22.29166666666667,72.125,22.6,72.68,1225,1174,1034,226
water_draw_1,2026-07-29T01:59:48.843Z,4.544,drawing,,open,9.0,0.237795,2.9970833333333338,28.125,82.625,22.083333333333314,71.74999999999997,22.5,72.5,1230,1172,1028,225
water_draw_1,2026-07-29T01:59:49.347Z,5.045,drawing,,open,9.0,0.262604,2.966458333333334,28.750000000000014,83.75000000000003,21.979166666666686,71.56250000000003,22.3,72.14,1236,1171,1022,223
water_draw_1,2026-07-29T01:59:49.865Z,5.563,drawing,,open,9.0,0.288017,2.946041666666668,29.583333333333343,85.25,22.1875,71.9375,22.6,72.68,1244,1173,1018,226
water_draw_1,2026-07-29T01:59:50.369Z,6.067,drawing,,open,9.0,0.312736,2.9409375000000013,30.20833333333333,86.375,21.770833333333343,71.1875,22.7,72.86,1250,1169,1017,227
water_draw_1,2026-07-29T01:59:50.873Z,6.572,drawing,,open,9.0,0.337197,2.9103125000000007,30.624999999999986,87.12499999999997,22.29166666666667,72.125,22.2,71.96000000000001,1254,1174,1011,222
water_draw_1,2026-07-29T01:59:51.378Z,7.076,drawing,,open,9.0,0.361399,2.8796875,31.770833333333343,89.18750000000003,21.979166666666686,71.56250000000003,22.3,72.14,1265,1171,1005,223
water_draw_1,2026-07-29T01:59:51.882Z,7.580,drawing,,open,9.0,0.385515,2.8694791666666677,31.979166666666686,89.56250000000006,22.083333333333314,71.74999999999997,22.3,72.14,1267,1172,1003,223
water_draw_1,2026-07-29T01:59:52.386Z,8.084,drawing,,open,9.0,0.409759,2.8847916666666666,33.02083333333334,91.43750000000003,22.1875,71.9375,22.8,73.03999999999999,1277,1173,1006,228
water_draw_1,2026-07-29T01:59:52.891Z,8.589,drawing,,open,9.0,0.433705,2.849062500000001,33.749999999999986,92.74999999999997,22.499999999999986,72.49999999999997,22.1,71.78,1284,1176,999,221
water_draw_1,2026-07-29T01:59:53.395Z,9.093,drawing,,open,9.0,0.457614,2.8439583333333336,33.749999999999986,92.74999999999997,22.395833333333343,72.31250000000003,22.5,72.5,1284,1175,998,225
water_draw_1,2026-07-29T01:59:53.899Z,9.597,drawing,,open,9.0,0.481519,2.8439583333333336,34.166666666666686,93.50000000000003,22.499999999999986,72.49999999999997,22.7,72.86,1288,1176,998,227
water_draw_1,2026-07-29T01:59:54.404Z,10.102,drawing,,open,9.0,0.505248,2.823541666666667,34.58333333333334,94.25000000000003,22.395833333333343,72.31250000000003,22.3,72.14,1292,1175,994,223
water_draw_1,2026-07-29T01:59:54.908Z,10.606,drawing,,open,9.0,0.530918,3.0532291666666658,35.52083333333333,95.9375,22.60416666666667,72.6875,22.400000000000002,72.32,1301,1177,1039,224
water_draw_1,2026-07-29T01:59:55.412Z,11.110,drawing,,open,9.0,0.556362,3.027708333333334,35.72916666666666,96.31249999999997,21.979166666666686,71.56250000000003,22.5,72.5,1303,1171,1034,225
water_draw_1,2026-07-29T01:59:55.916Z,11.615,drawing,,open,9.0,0.581509,2.9919791666666673,35.83333333333334,96.5,22.812500000000014,73.06250000000003,22.7,72.86,1304,1179,1027,227
water_draw_1,2026-07-29T01:59:56.421Z,12.119,drawing,,open,9.0,0.607251,3.0634374999999996,36.770833333333314,98.18749999999994,21.979166666666686,71.56250000000003,22.7,72.86,1313,1171,1041,227
water_draw_1,2026-07-29T01:59:56.925Z,12.623,drawing,,open,9.0,0.633599,3.134895833333333,36.874999999999986,98.37499999999997,21.979166666666686,71.56250000000003,22.3,72.14,1314,1171,1055,223
water_draw_1,2026-07-29T01:59:57.429Z,13.127,drawing,,open,9.0,0.660032,3.145104166666667,37.60416666666666,99.6875,22.395833333333343,72.31250000000003,22.7,72.86,1321,1175,1057,227
water_draw_1,2026-07-29T01:59:57.934Z,13.632,drawing,,open,9.0,0.686209,3.114479166666667,37.60416666666666,99.6875,22.60416666666667,72.6875,22.7,72.86,1321,1177,1051,227
water_draw_1,2026-07-29T01:59:58.438Z,14.136,drawing,,open,9.0,0.712258,3.0991666666666675,38.54166666666667,101.375,22.812500000000014,73.06250000000003,22.5,72.5,1330,1179,1048,225
water_draw_1,2026-07-29T01:59:58.942Z,14.640,drawing,,open,9.0,0.738605,3.134895833333333,39.16666666666666,102.5,22.70833333333333,72.875,22.400000000000002,72.32,1336,1178,1055,224
water_draw_1,2026-07-29T01:59:59.446Z,15.144,drawing,,open,9.0,0.764820,3.1195833333333343,39.0625,102.3125,22.70833333333333,72.875,22.0,71.6,1335,1178,1052,220
water_draw_1,2026-07-29T01:59:59.951Z,15.649,drawing,,open,9.0,0.791039,3.1195833333333343,38.95833333333334,102.125,23.02083333333333,73.4375,22.3,72.14,1334,1181,1052,223
water_draw_1,2026-07-29T02:00:00.455Z,16.153,drawing,,open,9.0,0.817055,3.0940625,39.375,102.875,22.29166666666667,72.125,22.2,71.96000000000001,1338,1174,1047,222
