POWER_MONITOR_READY {"output_csv": "/home/pi/conformance_testing_team/saved_data/conformance_runs/run_2026_07_29_014327Z/power.csv", "timestamp_utc": "2026-07-29T01:43:28.052Z"}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:43:28.054Z", "status": "ok", "reasons": ["initial_sample"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:44:28.394Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:45:28.744Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:46:29.093Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:47:29.444Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:48:29.794Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:49:30.144Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:50:30.493Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:51:30.841Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:52:31.191Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:53:31.541Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:54:31.891Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:55:32.239Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:56:32.587Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:57:32.935Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:58:33.281Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T01:59:33.629Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:00:33.961Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:01:34.304Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:02:34.768Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:03:35.121Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:04:35.470Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:05:04.641Z", "status": "ok", "reasons": ["voltage_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:05:05.647Z", "status": "ok", "reasons": ["voltage_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:06:05.996Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:07:06.341Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:08:06.689Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:08:12.724Z", "status": "ok", "reasons": ["voltage_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:08:50.946Z", "status": "ok", "reasons": ["current_change", "power_change", "heater_on"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:08:55.975Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:03.018Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:08.047Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:10.061Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:21.125Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:38.222Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:42.246Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:46.270Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:47.276Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:50.294Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:52.306Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:53.313Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:54.319Z", "status": "ok", "reasons": ["current_change", "power_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:55.326Z", "status": "ok", "reasons": ["current_change", "power_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:56.332Z", "status": "ok", "reasons": ["current_change", "power_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:57.339Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:58.346Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:09:59.353Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:01.365Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:03.378Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:06.395Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:09.414Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:10.420Z", "status": "ok", "reasons": ["current_change", "power_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:11.426Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:13.439Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:14.445Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:15.453Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:16.460Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:18.472Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:20.484Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:24.508Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:26.520Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:27.527Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:49.657Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:10:51.669Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:02.734Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:13.798Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:15.811Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:17.823Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:18.830Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:20.844Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:21.850Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:22.856Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:23.863Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:24.871Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:25.878Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:27.890Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:28.896Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:31.917Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:32.923Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:36.947Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:37.953Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:38.960Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:40.972Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:43.990Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:44.997Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:46.003Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:47.009Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:49.022Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:11:56.065Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:03.105Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:04.112Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:09.141Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:19.200Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:44.344Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:51.385Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:52.392Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:53.398Z", "status": "ok", "reasons": ["current_change", "power_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:55.411Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:12:59.435Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:01.447Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:03.460Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:11.507Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:14.525Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:16.538Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:19.557Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:21.569Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:22.577Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:35.654Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:37.666Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:38.672Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:13:40.685Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:14:41.035Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:15:41.380Z", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:16:22.618Z", "status": "ok", "reasons": ["current_change", "power_change", "heater_off"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:16:28.653Z", "status": "ok", "reasons": ["current_change", "power_change", "heater_on"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:16:31.671Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_utc": "2026-07-29T02:16:34.690Z", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_STOPPED {"output_csv": "/home/pi/conformance_testing_team/saved_data/conformance_runs/run_2026_07_29_014327Z/power.csv", "timestamp_utc": "2026-07-29T02:16:46.621Z"}
