timestamp_pacific,direction,message,payload_length,payload_hex
2026-08-13T17:04:52.663-07:00,inbound,get_advanced_load_up_reply,8,0C 80 00 00 96 00 64 02
2026-08-13T22:44:53.267-07:00,inbound,get_advanced_load_up_reply,8,0C 80 00 00 3C 00 64 02
