enabled,event_id,time_after_start,phase,event_type,action,event_duration_minutes,advanced_value,advanced_units,expected_operational_states,target_volume_gal,expected_flow_gpm,notes,advanced_efficiency
TRUE,advanced_load_up_1,00:00:00,pre_event,cta,advanced_load_up,150,100,100_wh,3|6,,,,
TRUE,shed_1,02:30:00,event,cta,shed,unknown,,,2|4,,,,
TRUE,advanced_load_up_2,05:40:00,recovery,cta,advanced_load_up,60,100,100_wh,3|6,,,,9
TRUE,run_normal_1,06:40:00,recovery,cta,run_normal,unknown,,,0|1,,,,
TRUE,water_draw_1,03:00:00,event,water_draw,water_draw,,,,,15,3,,
TRUE,water_draw_2,03:30:00,event,water_draw,water_draw,,,,,2,3,,
TRUE,water_draw_3,04:40:00,event,water_draw,water_draw,,,,,9,3,,
TRUE,test_end,07:00:00,recovery,test,end,,,,,,,,
