# time,command,argument,event_id,value,units,efficiency
1786771864,o,,auto_outside_comm_for_advanced_load_up_1,,,
1786771879,a,0,advanced_load_up_1,100,2,9
1786772674,o,,auto_outside_comm_heartbeat_01,,,
1786773484,o,,auto_outside_comm_heartbeat_02,,,
1786774294,o,,auto_outside_comm_heartbeat_03,,,
1786775104,o,,auto_outside_comm_heartbeat_04,,,
1786775914,o,,auto_outside_comm_heartbeat_05,,,
1786776724,o,,auto_outside_comm_heartbeat_06,,,
1786777534,o,,auto_outside_comm_heartbeat_07,,,
1786778344,o,,auto_outside_comm_heartbeat_08,,,
1786779154,o,,auto_outside_comm_heartbeat_09,,,
1786779964,o,,auto_outside_comm_heartbeat_10,,,
1786780774,o,,auto_outside_comm_heartbeat_11,,,
1786780864,o,,auto_outside_comm_for_shed_1,,,
1786780879,s,0,shed_1,,,
1786781584,o,,auto_outside_comm_heartbeat_12,,,
1786782394,o,,auto_outside_comm_heartbeat_13,,,
1786783204,o,,auto_outside_comm_heartbeat_14,,,
1786784014,o,,auto_outside_comm_heartbeat_15,,,
1786784824,o,,auto_outside_comm_heartbeat_16,,,
1786785634,o,,auto_outside_comm_heartbeat_17,,,
1786786444,o,,auto_outside_comm_heartbeat_18,,,
1786787254,o,,auto_outside_comm_heartbeat_19,,,
1786788064,o,,auto_outside_comm_heartbeat_20,,,
1786788874,o,,auto_outside_comm_heartbeat_21,,,
1786789684,o,,auto_outside_comm_heartbeat_22,,,
1786790494,o,,auto_outside_comm_heartbeat_23,,,
1786791304,o,,auto_outside_comm_heartbeat_24,,,
1786792114,o,,auto_outside_comm_heartbeat_25,,,
1786792264,o,,auto_outside_comm_for_advanced_load_up_2,,,
1786792279,a,0,advanced_load_up_2,100,2,9
1786792924,o,,auto_outside_comm_heartbeat_26,,,
1786793734,o,,auto_outside_comm_heartbeat_27,,,
1786794544,o,,auto_outside_comm_heartbeat_28,,,
1786795354,o,,auto_outside_comm_heartbeat_29,,,
1786795864,o,,auto_outside_comm_for_run_normal_1,,,
1786795879,e,0,run_normal_1,,,
1786796164,o,,auto_outside_comm_heartbeat_30,,,
1786796974,o,,auto_outside_comm_heartbeat_31,,,
