# time,command,argument,event_id,value,units
1785197974,o,,auto_outside_comm_for_load_up_1,,
1785197989,l,13,load_up_1,,
1785198394,o,,auto_outside_comm_for_run_normal_1,,
1785198409,e,10,run_normal_1,,
1785198694,o,,auto_outside_comm_for_critical_peak_1,,
1785198709,c,15,critical_peak_1,,
1785199294,o,,auto_outside_comm_for_run_normal_2,,
1785199309,e,0,run_normal_2,,
1785199474,o,,auto_outside_comm_for_shed_1,,
1785199489,s,13,shed_1,,
1785200074,o,,auto_outside_comm_for_run_normal_3,,
1785200089,e,0,run_normal_3,,
1785200194,o,,auto_outside_comm_for_grid_emergency_1,,
1785200209,g,13,grid_emergency_1,,
1785200794,o,,auto_outside_comm_for_run_normal_4,,
1785200809,e,0,run_normal_4,,
1785200914,o,,auto_outside_comm_for_advanced_load_up_1,,
1785200929,a,0,advanced_load_up_1,5,2
1785201034,o,,auto_outside_comm_for_run_normal_5,,
1785201049,e,0,run_normal_5,,
