phase,timestamp_pacific,time_after_command,time_after_previous,milestone,observation,source
Load Up 1,2026-08-09 13:10:25.141000,0:00,0:00,Command accepted,Accepted,CTA
Load Up 1,2026-08-09 13:10:54.736000,0:30,0:30,Fan started,"0.31 A, 32 W (inferred)",Power monitor
Load Up 1,2026-08-09 13:11:09.774000,0:45,0:15,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Load Up 1,2026-08-09 13:11:26.908000,1:02,0:17,Compressor started,"1.57 A, 206 W (inferred)",Power monitor
Load Up 1,2026-08-09 13:14:09,3:44,2:42,EnergyTake first changed,270 to 330 Wh,Commodity poll
Load Up 1,2026-08-09 14:14:57.095000,1:04:32,1:00:48,Compressor stopped; fan remains on,"0.23 A, 23 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:16:12.515000,1:05:47,1:15,Fan/load stopped,"0.00 A, 0 W (inferred)",Power monitor
GE,2026-08-09 14:40:24.791000,0:00,24:12,Command accepted,Accepted,CTA
GE,2026-08-09 14:41:10.416000,0:46,0:46,Expected operational state first observed,State 4: Idle Curtailed (expected 2 or 4),CTA state poll
GE,2026-08-09 15:10:24.199000,29:59,29:14,water_draw_1 started,Target 15.00 gal,Water draw
GE,2026-08-09 15:15:09,34:44,4:45,EnergyTake first changed,0 to 60 Wh,Commodity poll
GE,2026-08-09 15:15:19.504000,34:55,0:11,water_draw_1 completed,Measured 15.01 gal,Water draw
GE,2026-08-09 15:40:24.154000,59:59,25:05,water_draw_2 started,Target 2.00 gal,Water draw
GE,2026-08-09 15:41:05.049000,1:00:40,0:41,water_draw_2 completed,Measured 2.01 gal,Water draw
GE,2026-08-09 16:50:24.064000,2:09:59,1:09:19,water_draw_3 started,Target 9.00 gal,Water draw
GE,2026-08-09 16:53:20.681000,2:12:56,2:57,water_draw_3 completed,Measured 9.00 gal,Water draw
GE,2026-08-09 17:13:10.333000,2:32:46,19:50,Fan started,"0.29 A, 30 W (inferred)",Power monitor
GE,2026-08-09 17:17:23.723000,2:36:59,4:13,Fan/load stopped,"0.00 A, 0 W (inferred)",Power monitor
GE,2026-08-09 17:40:05.263000,2:59:40,22:42,Fan started,"0.20 A, 23 W (inferred)",Power monitor
GE,2026-08-09 17:44:23.698000,3:03:59,4:18,Fan/load stopped,"0.00 A, 2 W (inferred)",Power monitor
Load Up 2,2026-08-09 17:50:24.475000,0:00,6:01,Command accepted,Accepted,CTA
Load Up 2,2026-08-09 17:50:51.878000,0:27,0:27,Fan started,"0.30 A, 32 W (inferred)",Power monitor
Load Up 2,2026-08-09 17:51:10.099000,0:46,0:18,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Load Up 2,2026-08-09 17:51:27.064000,1:03,0:17,Compressor started,"1.98 A, 264 W (inferred)",Power monitor
Load Up 2,2026-08-09 17:53:10,2:46,1:43,EnergyTake first changed,1536 to 1476 Wh,Commodity poll
Normal,2026-08-09 18:50:24.540000,0:00,57:15,Command accepted,Accepted,CTA
Normal,2026-08-09 18:51:10.164000,0:46,0:46,Expected operational state first observed,State 1: Running Normal (expected 0 or 1),CTA state poll
Normal,2026-08-09 18:52:09,1:44,0:59,EnergyTake first changed,420 to 390 Wh,Commodity poll
