enabled,event_id,time_after_start,phase,event_type,action,event_duration_minutes,advanced_value,advanced_units,expected_operational_states,target_volume_gal,expected_flow_gpm,notes
TRUE,shed_1,00:00:00,pre_event,cta,shed,unknown,,,2|4,,,Initial command
TRUE,water_draw_1,00:01:00,event,water_draw,water_draw,,,,,20,3,advanced load up
TRUE,run_normal_1,00:06:00,recovery,cta,run_normal,unknown,,,0|1,,,return to normal
TRUE,test_end,00:09:00,recovery,test,end,,,,,,,Return unit to normal
FALSE,shed_2,00:14:00,event,cta,shed,unknown,,,2|4,,,Shed event
FALSE,water_draw_2,00:16:00,event,water_draw,water_draw,,,,,9,3,Return unit to normal
FALSE,grid_emergency_1,00:21:00,event,cta,grid_emergency,unknown,,,2|4,,,Grid emergency event
FALSE,run_normal_2,00:25:00,recovery,cta,run_normal,unknown,,,0|1,,,Return unit to normal
FALSE,critical_peak_1,00:27:00,event,cta,critical_peak,unknown,,,2|4,,,Attemp Advanced Load up
FALSE,run_normal_3,00:31:00,recovery,cta,run_normal,unknown,,,0|1,,,Return unit to normal
