# time,command,argument,event_id,value,units
1785959081,o,,auto_outside_comm_for_load_up_1,,
1785959096,l,0,load_up_1,,
1785959891,o,,auto_outside_comm_heartbeat_01,,
1785960701,o,,auto_outside_comm_heartbeat_02,,
1785961511,o,,auto_outside_comm_heartbeat_03,,
1785962321,o,,auto_outside_comm_heartbeat_04,,
1785963131,o,,auto_outside_comm_heartbeat_05,,
1785963941,o,,auto_outside_comm_heartbeat_06,,
1785964481,o,,auto_outside_comm_for_critical_peak_1,,
1785964496,c,0,critical_peak_1,,
1785964751,o,,auto_outside_comm_heartbeat_07,,
1785965561,o,,auto_outside_comm_heartbeat_08,,
1785966371,o,,auto_outside_comm_heartbeat_09,,
1785967181,o,,auto_outside_comm_heartbeat_10,,
1785967991,o,,auto_outside_comm_heartbeat_11,,
1785968801,o,,auto_outside_comm_heartbeat_12,,
1785969611,o,,auto_outside_comm_heartbeat_13,,
1785970421,o,,auto_outside_comm_heartbeat_14,,
1785971231,o,,auto_outside_comm_heartbeat_15,,
1785972041,o,,auto_outside_comm_heartbeat_16,,
1785972851,o,,auto_outside_comm_heartbeat_17,,
1785973661,o,,auto_outside_comm_heartbeat_18,,
1785974471,o,,auto_outside_comm_heartbeat_19,,
1785975281,o,,auto_outside_comm_heartbeat_20,,
1785975881,o,,auto_outside_comm_for_load_up_2,,
1785975896,l,0,load_up_2,,
1785976091,o,,auto_outside_comm_heartbeat_21,,
1785976901,o,,auto_outside_comm_heartbeat_22,,
1785977711,o,,auto_outside_comm_heartbeat_23,,
1785978521,o,,auto_outside_comm_heartbeat_24,,
1785979331,o,,auto_outside_comm_heartbeat_25,,
1785979481,o,,auto_outside_comm_for_run_normal_1,,
1785979496,e,0,run_normal_1,,
1785980141,o,,auto_outside_comm_heartbeat_26,,
