phase,timestamp_pacific,time_after_command,time_after_previous,milestone,observation,source
Load Up 1,2026-08-09 13:14:35.780000,0:00,0:00,Command accepted,Accepted,CTA
Load Up 1,2026-08-09 13:15:20.453000,0:45,0:45,Expected operational state first observed,State 6: Idle Heightened (expected 3 or 6),CTA state poll
Load Up 1,2026-08-09 13:54:20,39:44,39:00,EnergyTake first changed,0 to 44 Wh,Commodity poll
GE,2026-08-09 14:44:35.664000,0:00,50:16,Command accepted,Accepted,CTA
GE,2026-08-09 14:45:20.362000,0:45,0:45,Expected operational state first observed,State 4: Idle Curtailed (expected 2 or 4),CTA state poll
GE,2026-08-09 15:14:35.169000,30:00,29:15,water_draw_1 started,Target 15.00 gal,Water draw
GE,2026-08-09 15:16:20,31:44,1:45,EnergyTake first changed,66 to 132 Wh,Commodity poll
GE,2026-08-09 15:21:46.778000,37:11,5:27,water_draw_1 completed,Measured 15.01 gal,Water draw
GE,2026-08-09 15:44:35.173000,1:00:00,22:48,water_draw_2 started,Target 2.00 gal,Water draw
GE,2026-08-09 15:45:31.908000,1:00:56,0:57,water_draw_2 completed,Measured 2.01 gal,Water draw
GE,2026-08-09 16:54:35.032000,2:09:59,1:09:03,water_draw_3 started,Target 9.00 gal,Water draw
GE,2026-08-09 16:58:54.630000,2:14:19,4:20,water_draw_3 completed,Measured 9.00 gal,Water draw
Load Up 2,2026-08-09 17:54:35.566000,0:00,55:41,Command accepted,Accepted,CTA
Load Up 2,2026-08-09 17:55:21.233000,0:46,0:46,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Load Up 2,2026-08-09 17:56:15.117000,1:40,0:54,Compressor ramp started,"0.81 A, 189 W (inferred)",Power monitor
Load Up 2,2026-08-09 17:56:20.148000,1:45,0:05,Compressor started,"1.13 A, 275 W (inferred)",Power monitor
Load Up 2,2026-08-09 18:01:20,6:44,5:00,EnergyTake first changed,3247 to 3181 Wh,Commodity poll
Normal,2026-08-09 18:54:35.244000,0:00,53:15,Command accepted,Accepted,CTA
Normal,2026-08-09 18:55:20.911000,0:46,0:46,Expected operational state first observed,State 1: Running Normal (expected 0 or 1),CTA state poll
Normal,2026-08-09 18:56:20,1:45,0:59,EnergyTake first changed,1281 to 1237 Wh,Commodity poll
