# time,command,argument,event_id,value,units
1786306139,o,,auto_outside_comm_for_load_up_1,,
1786306154,l,0,load_up_1,,
1786306949,o,,auto_outside_comm_heartbeat_01,,
1786307759,o,,auto_outside_comm_heartbeat_02,,
1786308569,o,,auto_outside_comm_heartbeat_03,,
1786309379,o,,auto_outside_comm_heartbeat_04,,
1786310189,o,,auto_outside_comm_heartbeat_05,,
1786310999,o,,auto_outside_comm_heartbeat_06,,
1786311539,o,,auto_outside_comm_for_grid_emergency_1,,
1786311554,g,0,grid_emergency_1,,
1786311809,o,,auto_outside_comm_heartbeat_07,,
1786312619,o,,auto_outside_comm_heartbeat_08,,
1786313429,o,,auto_outside_comm_heartbeat_09,,
1786314239,o,,auto_outside_comm_heartbeat_10,,
1786315049,o,,auto_outside_comm_heartbeat_11,,
1786315859,o,,auto_outside_comm_heartbeat_12,,
1786316669,o,,auto_outside_comm_heartbeat_13,,
1786317479,o,,auto_outside_comm_heartbeat_14,,
1786318289,o,,auto_outside_comm_heartbeat_15,,
1786319099,o,,auto_outside_comm_heartbeat_16,,
1786319909,o,,auto_outside_comm_heartbeat_17,,
1786320719,o,,auto_outside_comm_heartbeat_18,,
1786321529,o,,auto_outside_comm_heartbeat_19,,
1786322339,o,,auto_outside_comm_heartbeat_20,,
1786322939,o,,auto_outside_comm_for_load_up_2,,
1786322954,l,0,load_up_2,,
1786323149,o,,auto_outside_comm_heartbeat_21,,
1786323959,o,,auto_outside_comm_heartbeat_22,,
1786324769,o,,auto_outside_comm_heartbeat_23,,
1786325579,o,,auto_outside_comm_heartbeat_24,,
1786326389,o,,auto_outside_comm_heartbeat_25,,
1786326539,o,,auto_outside_comm_for_run_normal_1,,
1786326554,e,0,run_normal_1,,
1786327199,o,,auto_outside_comm_heartbeat_26,,
