phase,timestamp_pacific,time_after_command,time_after_previous,milestone,observation,source
Load Up 1,2026-08-09 13:09:14.733000,0:00,0:00,Command accepted,Accepted,CTA
Load Up 1,2026-08-09 13:09:29.457000,0:15,0:15,Fan started,"0.23 A, 51 W (inferred)",Power monitor
Load Up 1,2026-08-09 13:10:32.775000,1:18,1:03,Compressor started,"1.06 A, 215 W (inferred)",Power monitor
Load Up 1,2026-08-09 13:13:00.229000,3:45,2:27,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Load Up 1,2026-08-09 13:13:59,4:44,0:59,EnergyTake first changed,450 to 525 Wh,Commodity poll
Load Up 1,2026-08-09 14:00:41.394000,51:27,46:42,Fan/load stopped,"0.18 A, 42 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:04:16.573000,55:02,3:35,Fan started,"0.21 A, 48 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:05:19.925000,56:05,1:03,Compressor started,"1.21 A, 263 W (inferred)",Power monitor
Load Up 1,2026-08-09 14:09:36.349000,1:00:22,4:16,Fan/load stopped,"0.17 A, 42 W (inferred)",Power monitor
GE,2026-08-09 14:39:15.174000,0:00,29:39,Command accepted,Accepted,CTA
GE,2026-08-09 14:39:59.775000,0:45,0:45,Expected operational state first observed,State 4: Idle Curtailed (expected 2 or 4),CTA state poll
GE,2026-08-09 15:09:14.125000,29:59,29:14,water_draw_1 started,Target 15.00 gal,Water draw
GE,2026-08-09 15:12:59,33:44,3:45,EnergyTake first changed,0 to 450 Wh,Commodity poll
GE,2026-08-09 15:14:17.243000,35:02,1:18,water_draw_1 completed,Measured 15.02 gal,Water draw
GE,2026-08-09 15:39:14.132000,59:59,24:57,water_draw_2 started,Target 2.00 gal,Water draw
GE,2026-08-09 15:39:53.620000,1:00:38,0:39,water_draw_2 completed,Measured 2.00 gal,Water draw
GE,2026-08-09 16:49:14.184000,2:09:59,1:09:21,water_draw_3 started,Target 9.00 gal,Water draw
GE,2026-08-09 16:52:07.392000,2:12:52,2:53,water_draw_3 completed,Measured 9.03 gal,Water draw
Load Up 2,2026-08-09 17:49:14.799000,0:00,57:07,Command accepted,Accepted,CTA
Load Up 2,2026-08-09 17:49:21.251000,0:06,0:06,Fan started,"0.23 A, 49 W (inferred)",Power monitor
Load Up 2,2026-08-09 17:50:24.619000,1:10,1:03,Compressor started,"5.62 A, 1049 W (inferred)",Power monitor
Load Up 2,2026-08-09 17:51:59.650000,2:45,1:35,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
Load Up 2,2026-08-09 17:52:59,3:44,0:59,EnergyTake first changed,1950 to 1725 Wh,Commodity poll
Normal,2026-08-09 18:49:14.215000,0:00,56:15,Command accepted,Accepted,CTA
Normal,2026-08-09 18:49:59.807000,0:46,0:46,Expected operational state first observed,State 1: Running Normal (expected 0 or 1),CTA state poll
Normal,2026-08-09 18:53:59,4:45,3:59,EnergyTake first changed,525 to 450 Wh,Commodity poll
