# time,command,argument,event_id,value,units
1785885150,o,,auto_outside_comm_for_load_up_1,,
1785885165,l,0,load_up_1,,
1785885960,o,,auto_outside_comm_heartbeat_01,,
1785886770,o,,auto_outside_comm_heartbeat_02,,
1785887580,o,,auto_outside_comm_heartbeat_03,,
1785888390,o,,auto_outside_comm_heartbeat_04,,
1785889200,o,,auto_outside_comm_heartbeat_05,,
1785890010,o,,auto_outside_comm_heartbeat_06,,
1785890550,o,,auto_outside_comm_for_shed_1,,
1785890565,s,0,shed_1,,
1785890820,o,,auto_outside_comm_heartbeat_07,,
1785891630,o,,auto_outside_comm_heartbeat_08,,
1785892440,o,,auto_outside_comm_heartbeat_09,,
1785893250,o,,auto_outside_comm_heartbeat_10,,
1785894060,o,,auto_outside_comm_heartbeat_11,,
1785894870,o,,auto_outside_comm_heartbeat_12,,
1785895680,o,,auto_outside_comm_heartbeat_13,,
1785896490,o,,auto_outside_comm_heartbeat_14,,
1785897300,o,,auto_outside_comm_heartbeat_15,,
1785898110,o,,auto_outside_comm_heartbeat_16,,
1785898920,o,,auto_outside_comm_heartbeat_17,,
1785899730,o,,auto_outside_comm_heartbeat_18,,
1785900540,o,,auto_outside_comm_heartbeat_19,,
1785901350,o,,auto_outside_comm_heartbeat_20,,
1785901950,o,,auto_outside_comm_for_load_up_2,,
1785901965,l,0,load_up_2,,
1785902160,o,,auto_outside_comm_heartbeat_21,,
1785902970,o,,auto_outside_comm_heartbeat_22,,
1785903780,o,,auto_outside_comm_heartbeat_23,,
1785904590,o,,auto_outside_comm_heartbeat_24,,
1785905400,o,,auto_outside_comm_heartbeat_25,,
1785905550,o,,auto_outside_comm_for_run_normal_1,,
1785905565,e,0,run_normal_1,,
1785906210,o,,auto_outside_comm_heartbeat_26,,
