enabled,event_id,time_after_start,phase,event_type,action,event_duration_minutes,advanced_value,advanced_units,expected_operational_states,target_volume_gal,expected_flow_gpm,notes,advanced_efficiency
TRUE,advanced_load_up_1,00:00:00,pre_event,cta,advanced_load_up,60,10,1000_wh,3|6,,,,
TRUE,run_normal_1,00:02:00,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_2,00:03:00,event,cta,advanced_load_up,unknown,100,10_wh,3|6,,,,
TRUE,run_normal_2,00:04:00,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_3,00:05:00,pre_event,cta,advanced_load_up,unknown,1000,1_wh,3|6,,,,
TRUE,run_normal_3,00:06:00,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_4,00:07:00,pre_event,cta,advanced_load_up,unknown,500,10_wh,3|6,,,,0
TRUE,run_normal_4,00:08:00,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_5,00:09:00,event,cta,advanced_load_up,100,70,100_wh,3|6,,,,10
TRUE,run_normal_5,00:10:00,recovery,cta,run_normal,unknown,,,0|1,,,,
TRUE,test_end,00:10:30,recovery,test,end,,,,,,,,
