phase,timestamp_pacific,time_after_command,time_after_previous,milestone,observation,source
ALU 1,2026-08-17 12:59:23.054000,0:00,0:00,Command accepted,Accepted,CTA
ALU 1,2026-08-17 12:59:37.539000,0:14,0:14,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
ALU 1,2026-08-17 13:01:02.129000,1:39,1:25,Compressor ramp started,"0.74 A, 173 W (inferred)",Power monitor
ALU 1,2026-08-17 13:01:07.160000,1:44,0:05,Compressor started,"1.01 A, 248 W (inferred)",Power monitor
ALU 1,2026-08-17 13:05:07,5:44,4:00,EnergyTake first changed,4308 to 4352 Wh,Commodity poll
Shed,2026-08-17 15:29:22.814000,0:00,2:24:16,Command accepted,Accepted,CTA
Shed,2026-08-17 15:29:38.058000,0:15,0:15,Expected operational state first observed,State 4: Idle Curtailed (expected 2 or 4),CTA state poll
Shed,2026-08-17 15:29:47.654000,0:25,0:10,Fan/load stopped,"0.00 A, 14 W (inferred)",Power monitor
Shed,2026-08-17 15:59:22.116000,29:59,29:34,water_draw_1 started,Target 15.00 gal,Water draw
Shed,2026-08-17 16:04:08,34:45,4:46,EnergyTake first changed,684 to 729 Wh,Commodity poll
Shed,2026-08-17 16:07:34.116000,38:11,3:26,water_draw_1 completed,Measured 15.01 gal,Water draw
Shed,2026-08-17 16:29:22.191000,59:59,21:48,water_draw_2 started,Target 2.00 gal,Water draw
Shed,2026-08-17 16:30:26.538000,1:01:04,1:04,water_draw_2 completed,Measured 2.00 gal,Water draw
Shed,2026-08-17 17:39:22.034000,2:09:59,1:08:55,water_draw_3 started,Target 9.00 gal,Water draw
Shed,2026-08-17 17:44:11.120000,2:14:48,4:49,water_draw_3 completed,Measured 9.00 gal,Water draw
ALU 2,2026-08-17 18:39:23.094000,0:00,55:12,Command accepted,Accepted,CTA
ALU 2,2026-08-17 18:39:37.578000,0:14,0:14,Expected operational state first observed,State 3: Running Heightened (expected 3 or 6),CTA state poll
ALU 2,2026-08-17 18:41:02.649000,1:40,1:25,Compressor started,"6.02 A, 398 W (inferred)",Power monitor
ALU 2,2026-08-17 18:43:07,3:44,2:04,EnergyTake first changed,5611 to 5567 Wh,Commodity poll
Normal,2026-08-17 19:39:22.813000,0:00,56:16,Command accepted,Accepted,CTA
Normal,2026-08-17 19:39:38.068000,0:15,0:15,Expected operational state first observed,State 0: Idle Normal (expected 0 or 1),CTA state poll
Normal,2026-08-17 19:39:51.118000,0:28,0:13,Fan/load stopped,"0.00 A, 11 W (inferred)",Power monitor
Normal,2026-08-17 19:42:07,2:44,2:16,EnergyTake first changed,3137 to 3070 Wh,Commodity poll
