# time,command,argument,event_id,value,units
1786306209,o,,auto_outside_comm_for_load_up_1,,
1786306224,l,0,load_up_1,,
1786307019,o,,auto_outside_comm_heartbeat_01,,
1786307829,o,,auto_outside_comm_heartbeat_02,,
1786308639,o,,auto_outside_comm_heartbeat_03,,
1786309449,o,,auto_outside_comm_heartbeat_04,,
1786310259,o,,auto_outside_comm_heartbeat_05,,
1786311069,o,,auto_outside_comm_heartbeat_06,,
1786311609,o,,auto_outside_comm_for_grid_emergency_1,,
1786311624,g,0,grid_emergency_1,,
1786311879,o,,auto_outside_comm_heartbeat_07,,
1786312689,o,,auto_outside_comm_heartbeat_08,,
1786313499,o,,auto_outside_comm_heartbeat_09,,
1786314309,o,,auto_outside_comm_heartbeat_10,,
1786315119,o,,auto_outside_comm_heartbeat_11,,
1786315929,o,,auto_outside_comm_heartbeat_12,,
1786316739,o,,auto_outside_comm_heartbeat_13,,
1786317549,o,,auto_outside_comm_heartbeat_14,,
1786318359,o,,auto_outside_comm_heartbeat_15,,
1786319169,o,,auto_outside_comm_heartbeat_16,,
1786319979,o,,auto_outside_comm_heartbeat_17,,
1786320789,o,,auto_outside_comm_heartbeat_18,,
1786321599,o,,auto_outside_comm_heartbeat_19,,
1786322409,o,,auto_outside_comm_heartbeat_20,,
1786323009,o,,auto_outside_comm_for_load_up_2,,
1786323024,l,0,load_up_2,,
1786323219,o,,auto_outside_comm_heartbeat_21,,
1786324029,o,,auto_outside_comm_heartbeat_22,,
1786324839,o,,auto_outside_comm_heartbeat_23,,
1786325649,o,,auto_outside_comm_heartbeat_24,,
1786326459,o,,auto_outside_comm_heartbeat_25,,
1786326609,o,,auto_outside_comm_for_run_normal_1,,
1786326624,e,0,run_normal_1,,
1786327269,o,,auto_outside_comm_heartbeat_26,,
