timestamp,timestamp_pacific,monitor_elapsed_seconds,status,record_reason,voltage_rms,current_rms,real_power,reactive_power,apparent_power,power_factor
12:53:41,2026-08-05T12:53:41.245-07:00,0.001,ok,initial_sample,240.334,0,2.053,9.237,10.264,0.199
12:54:07,2026-08-05T12:54:07.370-07:00,26.125,ok,current_change|heater_on,240.545,0.188,34.896,46.186,58.502,0.596
12:54:08,2026-08-05T12:54:08.376-07:00,27.128,ok,current_change|heater_off,240.282,0,16.422,19.501,25.659,0.64
12:54:13,2026-08-05T12:54:13.406-07:00,32.158,ok,current_change|heater_on,240.457,0.147,30.791,35.923,48.239,0.659
12:54:15,2026-08-05T12:54:15.418-07:00,34.17,ok,current_change|heater_off,240.387,0,28.738,39.002,49.265,0.604
12:54:23,2026-08-05T12:54:23.465-07:00,42.218,ok,current_change|heater_on,240.396,0.145,26.685,39.002,44.133,0.534
12:54:24,2026-08-05T12:54:24.472-07:00,43.224,ok,current_change|heater_off,240.466,0,20.527,28.738,35.923,0.571
12:55:37,2026-08-05T12:55:37.882-07:00,116.634,ok,current_change|power_change,240.422,0.841,201.166,80.056,216.562,0.929
12:55:39,2026-08-05T12:55:39.894-07:00,118.646,ok,current_change,240.536,0.962,231.957,75.951,245.3,0.949
12:55:42,2026-08-05T12:55:42.912-07:00,121.665,ok,current_change|power_change,240.501,1.155,285.328,63.634,292.512,0.975
12:55:53,2026-08-05T12:55:53.977-07:00,132.729,ok,current_change,240.168,1.255,309.96,61.582,316.118,0.98
12:56:01,2026-08-05T12:56:01.019-07:00,139.771,ok,current_change,240.107,1.359,330.487,45.16,333.566,0.99
12:56:08,2026-08-05T12:56:08.043-07:00,146.799,ok,current_change,240.01,1.477,365.384,54.397,369.489,0.988
12:56:40,2026-08-05T12:56:40.230-07:00,178.982,ok,current_change,240.264,1.577,390.016,48.239,394.122,0.992
12:59:23,2026-08-05T12:59:23.161-07:00,341.914,ok,current_change,239.8,1.654,408.491,41.054,404.385,0.994
13:30:39,2026-08-05T13:30:39.779-07:00,2218.531,ok,current_change|power_change|heater_off,239.117,0,12.316,25.659,28.738,0.428
17:34:07,2026-08-05T17:34:07.249-07:00,16826.001,ok,current_change|heater_on,240.518,0.157,30.791,40.028,51.318,0.619
17:34:08,2026-08-05T17:34:08.255-07:00,16827.008,ok,current_change|heater_off,240.825,0,12.316,21.554,25.659,0.52
17:34:11,2026-08-05T17:34:11.273-07:00,16830.026,ok,current_change|heater_on,240.632,0.147,30.791,36.949,48.239,0.638
17:34:14,2026-08-05T17:34:14.292-07:00,16833.044,ok,current_change|heater_off,240.317,0,24.633,34.896,48.239,0.616
17:34:24,2026-08-05T17:34:24.351-07:00,16843.103,ok,current_change|heater_on,240.974,0.143,26.685,39.002,48.239,0.574
17:34:25,2026-08-05T17:34:25.357-07:00,16844.109,ok,current_change|heater_off,240.956,0,18.474,22.58,29.764,0.62
17:35:37,2026-08-05T17:35:37.761-07:00,16916.513,ok,current_change|power_change,240.606,0.907,219.641,73.898,231.957,0.946
17:35:38,2026-08-05T17:35:38.768-07:00,16917.52,ok,current_change,240.755,1.009,244.273,70.819,254.537,0.959
17:35:42,2026-08-05T17:35:42.792-07:00,16921.544,ok,current_change|power_change,240.501,1.182,291.486,59.529,298.67,0.979
17:36:03,2026-08-05T17:36:03.915-07:00,16942.667,ok,current_change,240.518,1.297,322.277,51.318,326.382,0.987
