timestamp_pacific,test_elapsed_seconds,event_id,event,status,details
2026-08-09T13:18:58.008-07:00,0.000,,run_created,ok,"{""run_directory"":""/home/pi/conformance_testing_team/saved_data/conformance_runs/WH-2/run_2026_08_09_131858_PDT"",""water_output_enabled"":true,""outside_communication_heartbeat_enabled"":true}"
2026-08-09T13:18:58.212-07:00,0.205,,power_monitor,ready,"{""pid"":30540}"
2026-08-09T13:18:59.251-07:00,1.244,,cta_controller,started,"{""pid"":30541}"
2026-08-09T13:18:59.252-07:00,-14.748,,test_start_scheduled,pending,"{""test_start_pacific"":""2026-08-09T13:19:14.000-07:00""}"
2026-08-09T13:19:14.084-07:00,0.085,,test_started,ok,{}
2026-08-09T15:19:14.185-07:00,7200.186,water_draw_1,water_draw_started,started,"{""pid"":30695,""target_volume_gal"":15.0}"
2026-08-09T15:23:59.464-07:00,7485.465,water_draw_1,water_draw_completed,ok,"{""return_code"":0}"
2026-08-09T15:49:14.136-07:00,9000.137,water_draw_2,water_draw_started,started,"{""pid"":30736,""target_volume_gal"":2.0}"
2026-08-09T15:49:53.628-07:00,9039.629,water_draw_2,water_draw_completed,ok,"{""return_code"":0}"
2026-08-09T16:59:14.159-07:00,13200.160,water_draw_3,water_draw_started,started,"{""pid"":30834,""target_volume_gal"":9.0}"
2026-08-09T17:02:04.357-07:00,13370.358,water_draw_3,water_draw_completed,ok,"{""return_code"":0}"
2026-08-09T19:19:14.035-07:00,21600.036,,cta_return_to_normal,requested,{}
2026-08-09T19:19:16.559-07:00,21602.560,,cta_return_to_normal,completed,"{""return_code"":0}"
2026-08-09T19:19:16.625-07:00,21602.626,,power_monitor_shutdown,stopped,{}
2026-08-09T19:19:16.626-07:00,21602.626,,run_finished,completed,{}
