timestamp_utc,monitor_elapsed_seconds,status,record_reason,voltage_rms,current_rms,real_power,reactive_power,apparent_power,power_factor,voltage_rms_raw,current_rms_raw,real_power_raw,reactive_power_raw,apparent_power_raw
2026-07-23T21:59:58.290Z,0.001,ok,initial_sample,239.51967811158795,0.0,2.471756163693698,9.887024654774793,12.049811298006778,0.205078125,27667,57,4,32,39
2026-07-23T22:00:44.540Z,46.248,ok,voltage_change,238.51525751072958,0.0,1.235878081846849,11.122902736621642,11.431872257083354,0.134765625,27551,57,2,36,37
2026-07-23T22:01:11.680Z,73.387,ok,current_change|power_change|heater_on,239.39845493562228,0.22541272383170766,44.49161094648657,41.71088526233116,61.175965051419034,0.7265625,27653,471,72,135,198
2026-07-23T22:01:15.703Z,77.411,ok,current_change,239.01746781115878,0.21016741883825882,42.637793823716294,38.31222053725232,58.39523936726362,0.7451171875,27609,443,69,124,189
2026-07-23T22:01:18.721Z,80.429,ok,current_change,239.4244313304721,0.19056631241811034,40.166037660022596,33.05973868940321,52.215848958029376,0.7685546875,27656,407,65,107,169
2026-07-23T22:01:42.860Z,104.568,ok,current_change,239.13869098712445,0.21343426990828357,42.637793823716294,34.29561677125006,54.99657464218478,0.7802734375,27623,449,69,111,178
2026-07-23T22:01:53.914Z,115.625,ok,current_change,239.2339377682403,0.19818896491483473,43.25573286463972,33.36870820986493,54.687605121723074,0.7900390625,27634,421,70,108,177
2026-07-23T22:01:55.919Z,117.630,ok,current_change,239.25991416309012,0.22051244722667052,46.963367110180265,37.076342455405474,59.940086969572185,0.783203125,27637,462,76,120,194
2026-07-23T22:01:56.925Z,118.633,ok,current_change,239.34650214592273,0.2052671422332217,46.963367110180265,37.076342455405474,59.940086969572185,0.783203125,27647,434,76,120,194
2026-07-23T22:01:58.937Z,120.645,ok,current_change,239.26857296137337,0.18403261027806084,38.93015957817575,33.36870820986493,51.288940396644236,0.7587890625,27638,395,63,108,166
2026-07-23T22:02:02.963Z,124.671,ok,current_change,239.21662017167378,0.22051244722667052,47.58130615110369,36.14943389402033,59.940086969572185,0.79296875,27632,462,77,117,194
2026-07-23T22:02:03.969Z,125.677,ok,current_change,239.1473497854077,0.2041781918765468,43.87367190556314,34.913555812173485,56.23245272403163,0.779296875,27624,432,71,113,182
2026-07-23T22:02:07.995Z,129.703,ok,current_change,239.21662017167378,0.22160139758334543,48.199245192027114,36.14943389402033,60.249056490033894,0.7998046875,27632,464,78,117,195
2026-07-23T22:02:09.002Z,130.710,ok,current_change,239.2425965665236,0.2025447663415344,42.637793823716294,35.53149485309691,55.61451368310821,0.7666015625,27635,429,69,115,180
2026-07-23T22:02:11.016Z,132.723,ok,current_change,239.26857296137337,0.22269034794002035,47.58130615110369,37.38531197586718,60.55802601049561,0.78515625,27638,466,77,121,196
2026-07-23T22:02:14.033Z,135.741,ok,current_change,239.49370171673817,0.20308924151987187,43.87367190556314,34.604586291711776,55.92348320356992,0.7841796875,27664,430,71,112,181
2026-07-23T22:02:15.041Z,136.749,ok,current_change|power_change,239.09539699570814,1.2049235696607947,266.9496656789194,125.7505948279169,295.3748615613969,0.904296875,27618,2270,432,407,956
2026-07-23T22:02:16.048Z,137.755,ok,current_change|power_change,239.0607618025751,1.0241578104527587,208.24545679119407,141.81700989192595,252.11912869675723,0.8251953125,27614,1938,337,459,816
2026-07-23T22:02:17.055Z,138.763,ok,current_change,239.13869098712445,1.117263065948464,232.34507938720762,145.21567461700477,274.3649341700005,0.84765625,27623,2109,376,470,888
2026-07-23T22:02:18.061Z,139.769,ok,current_change,239.18198497854075,1.1602766050371232,245.32179924659954,143.97979653515793,284.8698978656987,0.861328125,27628,2188,397,466,922
2026-07-23T22:02:19.067Z,140.775,ok,current_change,239.190643776824,1.180422186635609,252.11912869675723,142.74391845331107,290.7403187544713,0.875,27629,2225,408,462,941
2026-07-23T22:02:20.075Z,141.783,ok,current_change,239.2339377682403,1.2060125200174696,257.0626410241446,146.45155269885163,295.99280060232036,0.8681640625,27634,2272,416,474,958
2026-07-23T22:02:22.088Z,143.796,ok,current_change,238.9222210300429,1.228880477507643,262.006153351532,147.37846126023675,300.93631292970775,0.87109375,27598,2314,424,477,974
2026-07-23T22:02:23.094Z,144.802,ok,current_change,239.13003218884117,1.2473926335711165,267.56760471984285,146.76052221931334,305.57085573663346,0.8759765625,27622,2348,433,475,989
2026-07-23T22:02:25.106Z,146.814,ok,current_change,239.18198497854075,1.272982966952977,276.8366903336942,142.74391845331107,311.75024614586766,0.888671875,27628,2395,448,462,1009
2026-07-23T22:02:26.113Z,147.821,ok,current_change,239.08673819742486,1.3056514776532244,283.01608074292847,147.37846126023675,319.4744841574105,0.88671875,27617,2455,458,477,1034
