POWER_MONITOR_READY {"output_csv": "/home/pi/conformance_testing_team/saved_data/conformance_runs/WH-4/FHR-CPE_2026_09_01_193648_PDT/power.csv", "timestamp_pacific": "2026-09-01T19:36:48.494-07:00"}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:36:48.496-07:00", "status": "ok", "reasons": ["initial_sample"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:37:48.798-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:38:49.131-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:39:49.472-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:40:49.805-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:41:50.155-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:42:50.488-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:43:50.826-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:44:51.167-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:45:51.496-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:46:51.838-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:47:52.188-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:48:52.527-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:49:52.877-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:50:53.208-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:51:53.546-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:52:53.878-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:53:54.219-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:54:54.549-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:55:54.909-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:56:11.003-07:00", "status": "ok", "reasons": ["current_change", "heater_on"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:56:17.041-07:00", "status": "ok", "reasons": ["heater_off"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:56:18.048-07:00", "status": "ok", "reasons": ["heater_on"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:56:19.054-07:00", "status": "ok", "reasons": ["heater_off"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:56:21.067-07:00", "status": "ok", "reasons": ["heater_on"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:56:23.079-07:00", "status": "ok", "reasons": ["heater_off"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:56:24.086-07:00", "status": "ok", "reasons": ["heater_on"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:56:26.098-07:00", "status": "ok", "reasons": ["heater_off"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:57:12.348-07:00", "status": "ok", "reasons": ["heater_on"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:57:13.355-07:00", "status": "ok", "reasons": ["heater_off"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:57:15.367-07:00", "status": "ok", "reasons": ["heater_on"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:57:16.374-07:00", "status": "ok", "reasons": ["heater_off"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:57:37.479-07:00", "status": "ok", "reasons": ["current_change", "power_change", "heater_on"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:57:42.509-07:00", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:57:53.573-07:00", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:58:12.684-07:00", "status": "ok", "reasons": ["current_change"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T19:59:13.015-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T20:00:13.339-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T20:01:13.672-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T20:02:14.003-07:00", "status": "ok", "reasons": ["heartbeat"]}
POWER_MONITOR_RECORD {"timestamp_pacific": "2026-09-01T20:03:14.334-07:00", "status": "ok", "reasons": ["heartbeat"]}
