# time,command,argument,event_id,value,units
1785959352,o,,auto_outside_comm_for_load_up_1,,
1785959367,l,0,load_up_1,,
1785960162,o,,auto_outside_comm_heartbeat_01,,
1785960972,o,,auto_outside_comm_heartbeat_02,,
1785961782,o,,auto_outside_comm_heartbeat_03,,
1785962592,o,,auto_outside_comm_heartbeat_04,,
1785963402,o,,auto_outside_comm_heartbeat_05,,
1785964212,o,,auto_outside_comm_heartbeat_06,,
1785964752,o,,auto_outside_comm_for_critical_peak_1,,
1785964767,c,0,critical_peak_1,,
1785965022,o,,auto_outside_comm_heartbeat_07,,
1785965832,o,,auto_outside_comm_heartbeat_08,,
1785966642,o,,auto_outside_comm_heartbeat_09,,
1785967452,o,,auto_outside_comm_heartbeat_10,,
1785968262,o,,auto_outside_comm_heartbeat_11,,
1785969072,o,,auto_outside_comm_heartbeat_12,,
1785969882,o,,auto_outside_comm_heartbeat_13,,
1785970692,o,,auto_outside_comm_heartbeat_14,,
1785971502,o,,auto_outside_comm_heartbeat_15,,
1785972312,o,,auto_outside_comm_heartbeat_16,,
1785973122,o,,auto_outside_comm_heartbeat_17,,
1785973932,o,,auto_outside_comm_heartbeat_18,,
1785974742,o,,auto_outside_comm_heartbeat_19,,
1785975552,o,,auto_outside_comm_heartbeat_20,,
1785976152,o,,auto_outside_comm_for_load_up_2,,
1785976167,l,0,load_up_2,,
1785976362,o,,auto_outside_comm_heartbeat_21,,
1785977172,o,,auto_outside_comm_heartbeat_22,,
1785977982,o,,auto_outside_comm_heartbeat_23,,
1785978792,o,,auto_outside_comm_heartbeat_24,,
1785979602,o,,auto_outside_comm_heartbeat_25,,
1785979752,o,,auto_outside_comm_for_run_normal_1,,
1785979767,e,0,run_normal_1,,
1785980412,o,,auto_outside_comm_heartbeat_26,,
