phase,timestamp_pacific,time_after_command,time_after_previous,milestone,observation,source
Load Up 1,2026-08-03 18:19:17.790000,0:00,0:00,Command accepted,Accepted,CTA
Load Up 1,2026-08-03 18:21:02,1:44,1:44,EnergyTake first changed,0 to 150 Wh,Commodity poll
Normal 1,2026-08-03 19:49:17.609000,0:00,1:28:16,Command accepted,Accepted,CTA
Load Up 1,2026-08-03 19:49:17.609000,1:30:00,0:00,Expected operational state not observed,Expected 3 or 6,CTA state poll
Normal 1,2026-08-03 19:50:03.193000,0:46,0:46,Expected operational state first observed,State 0: Idle Normal (expected 0 or 1),CTA state poll
Normal 1,2026-08-03 20:04:02,14:44,13:59,EnergyTake first changed,150 to 300 Wh,Commodity poll
Normal 1,2026-08-03 20:19:17.032000,29:59,15:15,water_draw_1 started,Target 15.00 gal,Water draw
Normal 1,2026-08-03 20:23:20.168000,34:03,4:03,Fan started,"0.23 A, 49 W (inferred)",Power monitor
Normal 1,2026-08-03 20:24:08.527000,34:51,0:48,water_draw_1 completed,Measured 15.02 gal,Water draw
Normal 1,2026-08-03 20:24:24.550000,35:07,0:16,Compressor started,"1.02 A, 204 W (inferred)",Power monitor
Normal 1,2026-08-03 20:49:17.198000,1:00:00,24:53,water_draw_2 started,Target 2.00 gal,Water draw
Normal 1,2026-08-03 20:49:57.688000,1:00:40,0:40,water_draw_2 completed,Measured 2.02 gal,Water draw
Normal 1,2026-08-03 21:38:09.840000,1:48:52,48:12,Fan/load stopped,"0.18 A, 43 W (inferred)",Power monitor
Normal 1,2026-08-03 21:38:15.875000,1:48:58,0:06,Fan started,"0.21 A, 49 W (inferred)",Power monitor
Normal 1,2026-08-03 21:41:41.030000,1:52:23,3:25,Fan/load stopped,"0.00 A, 0 W (inferred)",Power monitor
Normal 1,2026-08-03 21:59:17.052000,2:09:59,17:36,water_draw_3 started,Target 9.00 gal,Water draw
Normal 1,2026-08-03 22:02:14.455000,2:12:57,2:57,water_draw_3 completed,Measured 9.00 gal,Water draw
Normal 1,2026-08-03 22:03:14.294000,2:13:57,1:00,Fan started,"0.23 A, 51 W (inferred)",Power monitor
Normal 1,2026-08-03 22:04:17.658000,2:15:00,1:03,Compressor started,"1.33 A, 294 W (inferred)",Power monitor
Normal 1,2026-08-03 22:31:42.158000,2:42:25,27:24,Fan/load stopped,"0.18 A, 43 W (inferred)",Power monitor
Normal 1,2026-08-03 22:31:49.194000,2:42:32,0:07,Fan started,"0.22 A, 53 W (inferred)",Power monitor
Normal 1,2026-08-03 22:35:12.334000,2:45:55,3:23,Fan/load stopped,"0.00 A, 2 W (inferred)",Power monitor
Load Up 2,2026-08-03 22:59:17.825000,0:00,24:05,Command accepted,Accepted,CTA
Normal 2,2026-08-03 23:59:18.137000,0:00,1:00:00,Command accepted,Accepted,CTA
Load Up 2,2026-08-03 23:59:18.137000,1:00:00,0:00,Expected operational state not observed,Expected 3 or 6,CTA state poll
Normal 2,2026-08-04 00:00:02.716000,0:45,0:45,Expected operational state first observed,State 0: Idle Normal (expected 0 or 1),CTA state poll
