# time,command,argument,event_id,value,units
1785362249,o,,auto_outside_comm_for_shed_1,,
1785362264,s,0,shed_1,,
1785362429,o,,auto_outside_comm_for_advanced_load_up_1,,
1785362444,a,0,advanced_load_up_1,5,2
1785362609,o,,auto_outside_comm_for_run_normal_1,,
1785362624,e,0,run_normal_1,,
1785362729,o,,auto_outside_comm_for_load_up_1,,
1785362744,l,0,load_up_1,,
1785363089,o,,auto_outside_comm_for_shed_2,,
1785363104,s,0,shed_2,,
1785363509,o,,auto_outside_comm_for_grid_emergency_1,,
1785363524,g,0,grid_emergency_1,,
1785363749,o,,auto_outside_comm_for_run_normal_2,,
1785363764,e,0,run_normal_2,,
1785363869,o,,auto_outside_comm_for_critical_peak_1,,
1785363884,c,0,critical_peak_1,,
1785364109,o,,auto_outside_comm_for_run_normal_3,,
1785364124,e,0,run_normal_3,,
