timestamp_pacific,response_code,response_name,electricity_commodity_code,cumulative_electricity_Wh,instantaneous_electricity_W,total_storage_commodity_code,total_energy_storage_Wh,present_storage_commodity_code,present_energy_storage_Wh,advanced_total_storage_commodity_code,advanced_total_energy_storage_Wh,advanced_present_storage_commodity_code,advanced_present_energy_storage_Wh,operational_state
2026-07-29 14:57:29,0,success,0,119000,0,6,9190,7,176,,,,,0
2026-07-29 14:58:29,0,success,0,119000,0,6,9190,7,198,,,,,4
2026-07-29 14:59:29,0,success,0,119000,0,6,9190,7,176,,,,,4
2026-07-29 15:00:29,0,success,0,119000,0,6,9190,7,176,,,,,4
2026-07-29 15:01:29,0,success,0,119000,0,6,9190,7,176,,,,,4
2026-07-29 15:02:29,0,success,0,119000,0,6,9190,7,176,,,,,4
2026-07-29 15:03:29,0,success,0,119000,0,6,9190,7,176,,,,,4
2026-07-29 15:04:29,0,success,0,119000,0,6,9190,7,198,,,,,0
2026-07-29 15:05:29,0,success,0,119000,0,6,9190,7,176,,,,,0
2026-07-29 15:06:29,0,success,0,119000,0,6,9190,7,176,,,,,6
2026-07-29 15:07:29,0,success,0,119000,0,6,9190,7,176,,,,,6
2026-07-29 15:08:29,0,success,0,119000,0,6,9190,7,176,,,,,6
2026-07-29 15:09:29,0,success,0,119000,0,6,9190,7,176,,,,,6
2026-07-29 15:10:29,0,success,0,119000,0,6,9190,7,176,,,,,6
2026-07-29 15:11:30,0,success,0,119000,0,6,9190,7,198,,,,,6
2026-07-29 15:12:30,0,success,0,119000,0,6,9190,7,176,,,,,4
2026-07-29 15:13:29,0,success,0,119000,0,6,9190,7,176,,,,,4
2026-07-29 15:14:29,0,success,0,119000,0,6,9190,7,198,,,,,4
2026-07-29 15:15:29,0,success,0,119000,0,6,9190,7,198,,,,,4
2026-07-29 15:16:29,0,success,0,119000,0,6,9190,7,287,,,,,4
2026-07-29 15:17:29,0,success,0,119000,0,6,9190,7,463,,,,,4
2026-07-29 15:18:29,0,success,0,119000,0,6,9190,7,640,,,,,4
2026-07-29 15:19:29,0,success,0,119000,0,6,9190,7,729,,,,,4
2026-07-29 15:20:30,0,success,0,119000,0,6,9190,7,773,,,,,4
2026-07-29 15:21:29,0,success,0,119000,0,6,9190,7,795,,,,,4
2026-07-29 15:22:29,0,success,0,119000,0,6,9190,7,795,,,,,4
2026-07-29 15:23:29,0,success,0,119000,0,6,9190,7,795,,,,,0
2026-07-29 15:24:29,0,success,0,119000,0,6,9190,7,795,,,,,0
2026-07-29 15:25:29,0,success,0,119000,0,6,9190,7,817,,,,,4
2026-07-29 15:26:29,0,success,0,119000,0,6,9190,7,795,,,,,4
2026-07-29 15:27:30,0,success,0,119000,0,6,9190,7,817,,,,,4
2026-07-29 15:28:30,0,success,0,119000,0,6,9190,7,795,,,,,4
2026-07-29 15:29:30,0,success,0,119000,0,6,9190,7,795,,,,,0
2026-07-29 15:30:29,0,success,0,119000,0,6,9190,7,817,,,,,0
